id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.29,5.4,0.53,44.67,11.1,0.02,27.18,1.46,0.08,0.27,477,277,27,2293,570,1,1395,75,4,14,84.64,6779,5738,9.92,0.12,0.51,569,7,29
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.05,8.49,1.58,61.06,13.7,0.77,12.99,0.8,0.21,0.35,14,2195,409,15781,3540,198,3358,207,54,90,83.3,34419,28671,7.88,0.11,1.87,2258,32,535
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.83,8.18,1.63,52.43,10.03,0.13,18.61,1.63,0.23,0.31,2071,2482,493,15900,3042,38,5645,494,69,93,82.83,38386,31796,3.69,0.06,0.87,1173,18,278
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.11,12.64,1.52,34.59,12.64,0.81,26.16,2.93,0.21,0.39,1628,2539,305,6946,2538,162,5252,589,42,79,78.58,28720,22568,10.52,0.06,0.44,2375,13,100
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.27,6.18,1.57,58.46,10,0.92,15.99,2.12,0.2,0.28,1769,2561,649,24209,4142,382,6623,878,81,118,83.68,51577,43159,3.55,0.02,0.47,1534,10,203
BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.32,15.97,0.73,50.36,14.39,0.4,8.83,3.67,0.1,0.23,766,2298,105,7249,2071,58,1271,528,14,33,81.74,19101,15614,7.41,0.02,0.39,1157,3,61
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.66,7.43,0.67,38.81,10.76,0.37,32.86,3.08,0.1,0.27,549,721,65,3767,1044,36,3189,299,10,26,82.87,13407,11110,12.29,0.13,0.23,1365,14,25
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.96,5.01,1.55,43.85,15,0.51,22.34,3.82,0.29,0.66,950,683,211,5983,2047,70,3048,521,40,90,79.52,19313,15357,10.43,0.05,0.68,1602,8,104
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,14.65,10.58,1.55,39.87,16.18,0.45,10.61,5.22,0.21,0.67,4670,3372,495,12709,5157,144,3382,1663,67,214,75.28,46248,34817,6.85,0.06,1.55,2385,20,539
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.41,5.96,1.94,46.81,14.44,0.49,17.33,5.93,0.24,0.44,1453,1352,440,10611,3272,112,3929,1343,55,99,82.88,31831,26382,8.02,4.53,1.53,2117,1196,403
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.93,4.26,0.82,38.15,18.98,0.21,28.51,4.4,0.38,0.38,417,452,87,4048,2014,22,3025,467,40,40,84.74,13358,11319,5.54,0.07,0.64,627,8,72
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.67,6.45,1.02,48.29,14.72,0.52,11.04,16.88,0.19,0.22,107,1028,162,7700,2347,83,1760,2692,30,35,81.5,21596,17601,8.52,0.03,0.86,1499,6,152
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.88,6.82,3.63,52.06,14.92,1.38,10.26,3.3,0.3,0.45,2361,2340,1245,17872,5123,475,3522,1133,102,155,78.42,47557,37295,7.26,0.06,0.63,2709,22,236
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.49,5.42,2.55,57.73,13.94,0.73,8.66,2.86,0.26,0.35,7833,5665,2672,60387,14579,768,9063,2987,276,366,81.11,139071,112807,6.65,0.03,0.6,7506,30,675
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.08,5.32,2.6,61.79,11.7,1.07,7.37,2.29,0.29,0.48,9883,7428,3631,86271,16334,1490,10289,3201,405,677,80.86,181426,146709,3.25,0.31,1.28,4769,458,1873
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.99,6.89,1.19,50.47,18.4,0.55,9.74,2.74,0.41,0.62,1373,1052,181,7706,2809,84,1487,418,63,94,81.95,20691,16956,8.91,0.06,0.98,1511,11,167
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.15,3.85,2.22,64.35,12.64,0.87,6.33,1.88,0.32,0.38,5142,2765,1599,46251,9083,625,4550,1349,232,274,81.46,94470,76953,5.86,0.05,0.69,4511,39,533
BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.27,3.86,0.77,46.97,2.63,0.02,33.99,7.09,0.15,0.24,250,226,45,2748,154,1,1989,415,9,14,85.46,7166,6124,3.94,0.02,0.51,241,1,31
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.87,3.5,2.3,70.83,8.17,0.97,6.82,1.76,0.26,0.53,8939,6428,4218,130001,14994,1787,12512,3225,481,965,78.96,254674,201080,7.46,0.21,1.04,15001,430,2099
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.08,9.13,1.89,50.16,12.1,0.44,16.7,2.9,0.2,0.39,1403,2106,436,11568,2791,101,3852,669,45,90,77.97,31146,24286,4.08,0.09,0.88,990,21,214
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.39,3.84,0.35,40.86,21.84,2.63,25.49,1.99,0.1,0.52,138,222,20,2363,1263,152,1474,115,6,30,81.34,7710,6271,7.67,0.05,0.06,481,3,4
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.44,6.81,0.66,38.69,20.58,0.28,22.26,2.99,0.08,0.21,783,717,69,4074,2167,30,2344,315,8,22,83.01,13341,11074,4.76,0.02,0.14,527,2,16
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.24,7.07,1.12,48.24,18.78,0.06,18.13,1.97,0.14,0.25,450,750,119,5117,1992,6,1923,209,15,26,84.86,13924,11816,9.88,0.02,0.33,1168,2,39
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.01,2.21,0.5,42.79,9.49,0.05,37.87,4.87,0.1,0.1,40,44,10,852,189,1,754,97,2,2,88.33,2408,2127,5.88,0,0.52,125,0,11
BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.54,3.93,0.71,47.75,12.37,0.51,28.32,1.82,0.09,1.95,168,260,47,3157,818,34,1872,120,6,129,81.4,8692,7075,5.5,0.04,1.02,389,3,72
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.78,1.26,0.72,47.07,11.49,0.17,35.33,0.88,0.13,0.17,66,30,17,1118,273,4,839,21,3,4,84.58,2950,2495,4.45,0.04,0.32,111,1,8
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.42,4.78,1.23,48.4,11.15,0.15,23.4,2.88,0.21,0.39,865,557,143,5645,1300,18,2729,336,24,46,80.58,15597,12568,6.93,0.02,0.25,871,2,32
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.22,7.32,0.9,43.03,21.47,0.11,17.73,1.63,0.21,0.39,523,530,65,3116,1555,8,1284,118,15,28,85.75,9207,7895,8.04,0.05,0.18,635,4,14
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.08,5.23,0.84,49.5,17.89,0.32,14.15,6.54,0.14,0.32,369,380,61,3596,1300,23,1028,475,10,23,86.63,8910,7719,5,0,0.88,386,0,68
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.99,10.81,2.97,49.7,12.85,0.99,10.51,4.47,0.32,0.38,22087,34143,9395,156988,40596,3120,33210,14130,1010,1191,68.28,498700,340535,5.44,0.37,1.43,18515,1265,4885
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.96,6.87,1.55,59.18,11.6,0.97,9.92,2.14,0.34,0.48,2652,2618,589,22550,4422,370,3779,816,128,181,76.27,54274,41395,7.03,0.07,0.85,2911,28,351
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.51,7.96,3.16,50.05,14.55,1.07,10.24,2.98,0.2,0.27,20827,17442,6927,109596,31868,2351,22420,6522,448,587,77.32,303068,234323,5.44,0.16,0.95,12746,368,2221
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.28,5.65,0.95,47.9,13.34,0.25,20.22,3.97,0.1,0.34,766,595,100,5042,1404,26,2128,418,11,36,80.51,14806,11921,10.87,0.13,0.7,1296,15,84
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.66,7.71,0.61,43.45,11.77,0.37,23.04,2.68,0.24,0.46,1599,1276,101,7191,1948,61,3813,444,40,76,80.22,22452,18010,7.42,0.06,0.64,1336,10,115
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.57,7.7,1.48,53.23,12.62,0.34,14.24,3.26,0.21,0.34,443,519,100,3589,851,23,960,220,14,23,81.76,9932,8120,16.43,0,0.54,1334,0,44
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.06,6.51,0.78,38.39,18.86,0.19,28.26,2.59,0.19,0.16,251,402,48,2372,1165,12,1746,160,12,10,73.98,9108,6738,8.19,0.01,0.1,552,1,7
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.5,17.96,0.84,38.37,20.65,0.46,12.49,4,0.22,0.5,224,894,42,1910,1028,23,622,199,11,25,75.79,7538,5713,12.18,0.05,0.63,696,3,36
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.6,7.22,3.3,54.91,12.96,1.07,8.53,2.72,0.28,0.39,8444,7090,3242,53911,12727,1051,8379,2672,274,383,77.87,134659,104862,5.43,0.11,0.83,5699,116,874
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,9.75,9.13,3.4,49.67,13.89,1.28,9.8,2.59,0.27,0.21,9480,8869,3308,48270,13504,1244,9525,2517,266,207,81.81,125708,102836,4.78,0.06,0.65,4918,60,668
BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.94,2.96,2.33,69.27,11.5,1.01,6.98,1.32,0.23,0.46,4987,3748,2950,87689,14560,1282,8830,1671,288,578,78.52,174625,137122,6.14,0.31,1.24,8413,420,1706
BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.49,6.19,1.3,49.5,11.72,0.29,25.24,1.87,0.15,0.25,424,753,158,6020,1425,35,3070,228,18,30,82.67,16252,13435,8.34,0.05,1.09,1121,7,146
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.36,9.99,2.27,43.14,13.33,0.69,14.28,5.24,0.23,0.47,5538,5336,1215,23053,7124,370,7631,2798,125,250,79.12,73542,58184,6.74,0.3,1.11,3920,176,648
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.91,6.36,2.31,52.76,13.56,0.12,20.58,2.69,0.31,0.41,333,2327,845,19300,4962,43,7528,983,112,150,74.84,52620,39379,5.85,0.09,1.16,2305,36,455
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.66,13.64,4.11,39.94,15.69,1.81,15.45,5.03,0.33,0.34,11978,44591,13427,130552,51302,5907,50514,16452,1072,1097,74.24,469169,348293,5.02,0.23,0.9,17477,785,3139
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.27,7.84,3.42,51.94,14.96,1.2,9.25,2.61,0.22,0.28,22037,20905,9116,138447,39866,3186,24665,6961,586,758,78.16,360799,282012,4.69,0.15,0.66,13213,416,1856
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,2.04,4.18,1.8,50.79,12.83,0.36,26.59,1.21,0.06,0.15,135,277,119,3366,850,24,1762,80,4,10,82.58,8354,6899,3.62,0.09,0.23,250,6,16
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.42,8.77,1.01,59.75,10.49,0.14,11.86,2.85,0.25,0.47,588,1166,134,7948,1396,19,1577,379,33,62,79.76,19587,15622,6.73,0.08,8.03,1052,13,1255
BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.09,5.54,1.39,49.51,18.46,0.36,17.4,1.73,0.28,0.23,455,496,124,4430,1652,32,1557,155,25,21,86.56,11058,9572,6.12,0.04,0.37,586,4,35
BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,8.1,5.82,1.01,50.59,15.61,0.03,15.91,2.16,0.34,0.43,878,631,109,5483,1692,3,1725,234,37,47,84.62,13622,11527,5.59,0,0.38,644,0,44
BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.27,9.33,0.85,48.64,20.59,0.07,11.23,2.43,0.16,0.43,191,284,26,1481,627,2,342,74,5,13,84.89,4336,3681,16.68,0.05,0.54,614,2,20
BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.31,6.98,1.33,39.8,20.1,0.46,19.91,4.24,0.25,0.61,1675,1852,352,10561,5334,121,5284,1125,66,163,83.22,34311,28555,6.69,0.02,0.37,1909,7,106
BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,4.5,4.36,0.72,45.29,15.28,0.01,28.02,1.37,0.21,0.24,498,482,80,5007,1689,1,3098,151,23,26,85.13,13717,11677,4.64,0.06,0.63,542,7,73
BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,0.98,7.56,1.75,47.33,17.03,0.65,20.21,3.69,0.31,0.5,205,1582,366,9904,3563,135,4228,772,65,105,84.04,27338,22976,8.48,0.01,0.44,1949,2,100
BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.25,7.01,3.1,56.91,14.65,0.98,7.32,2.37,0.2,0.21,23407,22632,9994,183734,47306,3163,23632,7660,635,693,78.38,431457,338184,3.32,0.18,1.03,11243,592,3493
BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,13.1,10.73,1.53,46.06,14.09,1.07,10.4,2.45,0.25,0.32,7429,6082,867,26115,7986,607,5898,1388,143,183,82.13,75254,61808,7.34,0.08,0.85,4536,47,527
BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.77,4.53,1.26,43.57,15.37,0.63,24.24,1.91,0.26,0.46,763,445,124,4280,1510,62,2381,188,26,45,79.55,13264,10552,6.43,0.08,0.39,679,8,41
BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.44,4.36,1.07,40.97,8.35,0,37.49,3.84,0.09,0.39,237,301,74,2826,576,0,2586,265,6,27,80.8,9030,7296,5.18,0.03,0.25,378,2,18
BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.45,3.08,2.8,57.57,21.93,0.86,5.63,1.68,0.36,0.64,8993,5079,4628,95080,36224,1424,9290,2779,595,1053,82.43,215595,177718,6.1,0.23,0.74,10843,407,1323
BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.58,4.73,1.27,51.3,13.61,1.25,19.55,2.25,0.25,0.21,755,641,172,6946,1842,169,2647,304,34,29,77.28,18447,14256,4.43,0.05,0.55,631,7,79
BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5,5.21,2.16,65.23,10.75,0.7,8.34,1.99,0.25,0.36,1328,1384,575,17342,2859,187,2217,528,67,97,81.97,35188,28844,7,0.2,0.63,2018,59,183
BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,7.49,4.97,2.69,64.74,10.22,0.81,7.12,1.52,0.19,0.25,46835,31062,16846,404974,63924,5058,44547,9533,1191,1593,78.64,846527,665735,5.22,0.05,0.77,34743,306,5123
BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,10.1,8.28,2.85,48.46,15.54,0.92,9.25,4.11,0.21,0.27,3750,3076,1060,17995,5771,342,3436,1527,79,99,81.63,48843,39870,5.8,0.08,0.98,2314,31,390
BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,6.14,4.88,2.8,63.88,12.18,0.93,6.81,1.79,0.26,0.33,15983,12716,7280,166305,31722,2428,17736,4655,665,851,82.88,340209,281972,7.02,0.13,0.53,19789,356,1486
BUENOS AIRES_MONTE,"Monte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,3.61,5.85,0.98,46.03,19.12,0.77,20.33,2.52,0.22,0.57,428,693,116,5453,2265,91,2408,299,26,68,81.4,15643,12734,6.15,0.07,0.75,783,9,95
BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,5.49,4.29,1.79,49.51,21.09,0.35,14.23,2.97,0.09,0.19,233,182,76,2101,895,15,604,126,4,8,77.6,5844,4535,5.6,0.04,0.77,254,2,35
