id,seccion,agrupacion_ganadora,CONSENSO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_perc,FRENTE DE TODOS_perc,FRENTE NOS_perc,FRENTE PATRIOTA_perc,JUNTOS POR EL CAMBIO_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,PARTIDO AUTONOMISTA_perc,UNITE POR LA LIBERTAD Y LA DIGNIDAD_perc,CONSENSO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD_votos,FRENTE DE TODOS_votos,FRENTE NOS_votos,FRENTE PATRIOTA_votos,JUNTOS POR EL CAMBIO_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,PARTIDO AUTONOMISTA_votos,UNITE POR LA LIBERTAD Y LA DIGNIDAD_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",FRENTE DE TODOS,4.65,1.15,50.95,0.63,0.05,39.67,0.32,0.09,0.05,2.43,258,64,2830,35,3,2203,18,5,3,135,77.17,7618,5879,4.56,0.36,0.61,268,21,36
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",FRENTE DE TODOS,7.28,3.54,54.15,1.11,0.2,31.48,0.57,0.12,0.1,1.45,2318,1127,17239,352,65,10020,180,39,31,462,77.3,42983,33227,3.56,0.13,0.5,1184,44,166
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",FRENTE DE TODOS,6.34,2.29,48.32,0.92,0.22,38.62,1.18,0.09,0.09,1.91,1971,712,15013,287,69,12000,368,29,27,594,77.62,41538,32241,2.7,0.13,0.8,871,42,258
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",JUNTOS POR EL CAMBIO,9.87,2.74,40.14,1.04,0.13,43.63,0.62,0.1,0.07,1.65,2308,642,9391,243,30,10207,146,24,17,386,75.2,33236,24992,6.11,0.16,0.12,1527,40,31
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",FRENTE DE TODOS,18.39,2.21,46.88,0.98,0.38,28.64,0.49,0.07,0.09,1.89,8066,968,20565,429,166,12562,215,32,38,827,78.37,58236,45640,3.29,0.15,0.44,1501,68,203
BUENOS AIRES_COLON,"Colon, Buenos Aires",FRENTE DE TODOS,4.78,2.12,58.29,1.54,0.31,30.73,0.46,0.06,0.07,1.65,766,340,9346,247,49,4927,73,9,12,265,77.96,21295,16601,2.89,0.11,0.42,480,18,69
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",JUNTOS POR EL CAMBIO,8.42,2.1,39.34,1.22,0.19,46.15,0.45,0.21,0.09,1.84,755,188,3529,109,17,4140,40,19,8,165,69.47,13594,9444,4.36,0.3,0.36,412,28,34
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",JUNTOS POR EL CAMBIO,9.73,3.79,39.89,3.2,0.24,40.85,0.49,0,0.17,1.64,1376,536,5642,452,34,5778,69,0,24,232,74.33,20120,14955,4.53,0.16,0.74,678,24,110
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",JUNTOS POR EL CAMBIO,10.06,2.71,25.15,3.75,0.28,53.83,0.63,0.19,0.09,3.3,3496,940,8738,1304,97,18700,219,66,32,1146,75.38,48507,36565,4,0.17,0.82,1464,62,301
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",FRENTE DE TODOS,8.66,3.1,46.37,1.44,0.34,36.81,0.47,0.12,0.1,2.59,2173,779,11640,362,85,9242,118,31,24,650,77.74,34125,26529,4.07,0.3,1.01,1079,79,267
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",FRENTE DE TODOS,6.04,1.45,49.07,0.72,0.11,40.63,0.46,0.1,0.08,1.34,625,150,5078,75,11,4204,48,10,8,139,75.21,14618,10994,5.24,0.21,0.43,576,23,47
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",JUNTOS POR EL CAMBIO,6.51,2.29,41.07,1.84,0.21,45.55,0.49,0.14,0.14,1.75,1082,381,6821,306,35,7566,82,24,23,290,72.65,24300,17654,4.88,0.19,0.84,862,33,149
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",FRENTE DE TODOS,6.6,4.12,62.27,1.35,0.21,22.83,0.92,0.09,0.09,1.52,2580,1611,24348,527,81,8927,360,34,37,595,75.87,53548,40626,3.17,0.18,0.41,1289,72,165
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",FRENTE DE TODOS,6.91,3.24,55.67,3.81,0.23,27.34,0.68,0.02,0.18,1.92,8902,4172,71689,4910,298,35208,881,21,231,2467,75.88,176934,134263,3.55,0.15,0.39,4769,195,520
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",FRENTE DE TODOS,8.42,3.82,58.42,1.77,0.32,24.61,0.75,0.1,0.09,1.7,13831,6271,95926,2908,519,40406,1233,165,153,2786,76.19,224264,170856,3.06,0.13,0.71,5225,214,1219
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",FRENTE DE TODOS,7.12,2.41,48.37,2.71,0.21,36.08,0.7,0.14,0.08,2.17,1435,486,9748,547,42,7271,141,28,17,438,74.33,28377,21092,3.36,0.19,0.9,709,40,190
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",FRENTE DE TODOS,7.43,3.81,60.92,1.96,0.24,23.35,0.63,0.13,0.09,1.45,6705,3440,54998,1770,217,21084,565,113,79,1309,73.86,128172,94673,3.98,0.04,0.62,3765,38,590
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",FRENTE DE TODOS,5.77,3.33,68.62,1.67,0.27,18.33,0.73,0,0.11,1.16,12752,7357,151594,3688,590,40502,1619,6,247,2556,74.68,310064,231571,4.01,0.14,0.46,9277,328,1055
BUENOS AIRES_FLORENTINO AMEGHINO,"Florentino Ameghino, Buenos Aires",JUNTOS POR EL CAMBIO,4.48,1.57,45.01,0.48,0.15,46.97,0.21,0.03,0.03,1.07,273,96,2745,29,9,2864,13,2,2,65,78.61,7981,6274,2.22,0.14,0.45,139,9,28
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",FRENTE DE TODOS,10.44,2.29,45.81,2.2,0.2,35.95,0.75,0.12,0.13,2.11,2672,586,11725,563,52,9202,191,30,33,541,74.73,35649,26641,2.94,0.2,0.79,784,52,210
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",FRENTE DE TODOS,5.1,1.63,46.28,0.37,0.15,44.36,0.49,0.08,0.07,1.47,313,100,2840,23,9,2722,30,5,4,90,76.04,8563,6511,5.39,0.25,0.12,351,16,8
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",JUNTOS POR EL CAMBIO,8.08,1.18,42.33,0.51,0.12,46.11,0.37,0.06,0.06,1.19,884,129,4633,56,13,5047,40,7,7,130,76.41,14896,11382,3.29,0.16,0.39,374,18,44
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",JUNTOS POR EL CAMBIO,6.98,2.19,42.62,0.79,0.16,45.35,0.53,0.03,0.07,1.28,816,256,4986,92,19,5305,62,4,8,150,76.58,15941,12208,3.66,0.22,0.29,447,27,36
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",JUNTOS POR EL CAMBIO,3.15,0.98,39.18,0.54,0.22,54.35,0.49,0.11,0,0.98,58,18,721,10,4,1000,9,2,0,18,82.03,2493,2045,9.19,0.54,0.29,188,11,6
BUENOS AIRES_GENERAL LA MADRID,"General La Madrid, Buenos Aires",JUNTOS POR EL CAMBIO,5.36,2.22,44.07,1.16,0.19,44.54,0.55,0.25,0.21,1.44,360,149,2960,78,13,2992,37,17,14,97,76.08,9542,7260,5.51,0.41,1.56,400,30,113
BUENOS AIRES_GENERAL LAS HERAS,"General Las Heras, Buenos Aires",FRENTE DE TODOS,8.22,2.27,53.57,0.8,0.15,32.98,0.4,0.01,0.13,1.48,774,214,5045,75,14,3106,38,1,12,139,77.37,12819,9918,4.43,0.02,0.59,439,2,59
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",JUNTOS POR EL CAMBIO,4.65,1.95,42.28,1.91,0.15,47.11,0.41,0.07,0.04,1.42,124,52,1128,51,4,1257,11,2,1,38,66.71,4220,2815,4.44,0.11,0.67,125,3,19
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",FRENTE DE TODOS,7.96,3.24,43.79,1.59,0.19,40.68,0.47,0.05,0.09,1.94,1008,411,5548,202,24,5154,59,6,11,246,74.12,17934,13293,4.3,0.1,0.29,572,13,39
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",FRENTE DE TODOS,5.5,1.63,49.61,1.68,0.21,39.05,0.58,0.17,0.04,1.53,449,133,4048,137,17,3186,47,14,3,125,79.1,10828,8565,4.13,0.22,0.39,354,19,33
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",FRENTE DE TODOS,6.26,1.88,51.71,0.65,1.1,37.12,0.5,0.11,0.07,0.58,450,135,3715,47,79,2667,36,8,5,42,77.03,9870,7603,4.76,0.09,0.66,362,7,50
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",FRENTE DE TODOS,9.82,3.81,42.48,1.98,0.24,37.71,1.09,0.08,0.07,2.71,35462,13769,153383,7159,873,136162,3951,273,255,9791,69.28,552786,382965,4.36,0.14,1.22,16703,520,4664
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",FRENTE DE TODOS,5.73,2.57,59.86,1.93,0.27,27.21,0.93,0.01,0.11,1.41,3146,1410,32883,1058,148,14946,509,3,62,772,74.86,77042,57677,3.99,0.16,0.6,2302,94,344
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",FRENTE DE TODOS,8.79,4.2,50.65,2.93,0.32,29.75,0.92,0.01,0.12,2.32,20818,9956,119973,6933,748,70475,2183,16,288,5484,74.17,330648,245241,2.47,0.14,0.8,6050,352,1965
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",FRENTE DE TODOS,6.03,1.27,50.15,0.68,0.18,40.07,0.33,0.13,0.05,1.11,703,148,5846,79,21,4671,39,15,6,129,77.39,15698,12148,3.5,0.15,0.4,425,18,48
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",JUNTOS POR EL CAMBIO,5.54,1.39,33.85,1.14,0.24,55.74,0.36,0.14,0.06,1.53,912,229,5570,188,39,9172,59,23,10,252,73,25049,18286,9.2,0.25,0.57,1682,46,104
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",FRENTE DE TODOS,5.31,2.24,53.81,1.05,0.18,34.76,0.32,0.17,0.18,1.98,381,161,3860,75,13,2493,23,12,13,142,74.92,10550,7904,8.38,0.33,0.54,662,26,43
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",FRENTE DE TODOS,5.32,1.31,46.99,0.68,0.19,42.92,0.71,0.15,0.1,1.63,362,89,3198,46,13,2921,48,10,7,111,75.38,9945,7497,8.54,0.28,0.41,640,21,31
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",FRENTE DE TODOS,4.93,0.99,47.33,1.09,0.21,43.87,0.32,0.04,0.25,0.97,279,56,2681,62,12,2485,18,2,14,55,74.31,8097,6017,4.82,0.2,0.85,290,12,51
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",FRENTE DE TODOS,8.91,4.31,53.73,2.65,0.27,26.94,0.91,0,0.13,2.16,9906,4796,59766,2943,296,29970,1011,4,140,2408,78.06,147017,114758,2.11,0.16,0.79,2427,182,909
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",FRENTE DE TODOS,10.33,4.25,50.19,1.59,0.23,30.15,0.96,0.02,0.11,2.17,10856,4463,52739,1673,243,31679,1010,18,115,2285,77.64,140051,108739,2.73,0.17,0.47,2970,181,507
BUENOS AIRES_JOSE C. PAZ,"Jose C. Paz, Buenos Aires",FRENTE DE TODOS,6.54,3.65,67.01,2.26,0.22,18.21,0.73,0.01,0.17,1.21,10140,5666,103956,3506,342,28244,1125,8,263,1878,74.59,216949,161830,3.52,0.11,0.51,5696,174,832
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",FRENTE DE TODOS,9.52,2.21,45.02,1.52,0.25,38.7,0.52,0.08,0.06,2.11,5188,1204,24546,831,137,21101,285,44,34,1149,71.75,78870,56590,2.84,0.1,0.71,1609,59,403
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",FRENTE DE TODOS,7.8,3.5,47.84,2.33,0.2,35.19,0.73,0.14,0.1,2.17,3595,1611,22045,1075,91,16214,338,63,48,1000,70.7,68817,48656,4.53,0.22,0.54,2203,109,264
BUENOS AIRES_LA MATANZA,"La Matanza, Buenos Aires",FRENTE DE TODOS,7.04,3.86,64.37,1.94,0.29,19.94,0.7,0.12,0.09,1.65,52344,28698,478401,14396,2168,148172,5187,856,694,12298,76.48,1005748,769162,2.65,0.15,0.57,20419,1181,4348
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",FRENTE DE TODOS,8.68,4.54,44.67,1.82,0.28,36.5,1.19,0.11,0.09,2.12,33104,17316,170405,6953,1072,139237,4524,404,345,8086,74.24,533207,395855,2.6,0.22,0.82,10276,886,3247
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",FRENTE DE TODOS,8.89,3.9,53.7,1.32,0.24,28.94,0.95,0.01,0.08,1.96,24501,10753,147961,3631,666,79748,2618,20,231,5407,76.27,372872,284392,2.44,0.15,0.53,6930,418,1508
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",FRENTE DE TODOS,3.58,1.36,56.29,0.6,0.13,36.08,0.51,0.13,0.06,1.26,252,96,3962,42,9,2539,36,9,4,89,76.93,9551,7348,3.23,0.3,0.69,237,22,51
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",FRENTE DE TODOS,7.9,2.24,48.36,1.06,0.13,38.28,0.54,0.11,0.04,1.34,1237,350,7569,166,20,5991,85,17,7,209,76.73,21575,16555,4.55,0.21,0.7,753,35,116
BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",FRENTE DE TODOS,5.76,1.44,50.63,1.1,0.28,39.27,0.3,0.13,0.07,1.03,615,154,5407,117,30,4194,32,14,7,110,75.53,14741,11134,3.31,0.09,0.67,369,10,75
BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",FRENTE DE TODOS,11.51,2.28,42.8,0.67,0.13,41.01,0.37,0.05,0.05,1.12,430,85,1599,25,5,1532,14,2,2,42,81.92,4813,3943,4.62,0,0.63,182,0,25
BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",JUNTOS POR EL CAMBIO,8.15,2.02,40.22,1.66,0.29,45.25,0.45,0.17,0.09,1.69,2214,549,10922,451,80,12288,123,45,24,459,76.93,36962,28434,3.85,0.09,0.56,1094,26,159
BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",FRENTE DE TODOS,5.31,3.21,45.11,1.59,0.11,42.83,0.45,0.06,0.03,1.29,530,320,4498,159,11,4271,45,6,3,129,77.06,14421,11113,9.34,0.21,0.72,1038,23,80
BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",JUNTOS POR EL CAMBIO,7.3,3.32,41.22,1.55,0.2,43.72,0.51,0.09,0.13,1.96,1677,763,9473,357,45,10047,118,20,29,450,77.46,31576,24458,5.43,0.14,0.47,1328,35,116
BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",FRENTE DE TODOS,7.75,3.85,58.52,1.35,0.25,25.21,0.95,0.12,0.09,1.91,27528,13691,207905,4803,896,89578,3364,416,320,6770,75.35,491229,370123,3.17,0.11,0.74,11715,394,2743
BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",FRENTE DE TODOS,9.24,2.93,45.07,1.18,0.26,38.6,0.65,0,0.1,1.95,5896,1869,28764,756,167,24638,417,2,66,1246,74.82,89732,67136,3.85,0.2,0.89,2586,131,598
BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",FRENTE DE TODOS,7.94,2.53,42.33,2.6,0.22,41.39,0.84,0.12,0.15,1.88,838,267,4470,275,23,4370,89,13,16,198,76.35,14531,11094,4.34,0.18,0.31,481,20,34
BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",JUNTOS POR EL CAMBIO,4.17,1.94,44.69,1.48,0.22,45.19,0.46,0.15,0.11,1.6,310,144,3323,110,16,3360,34,11,8,119,77.68,10063,7817,4.09,0.27,0.52,320,21,41
BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",FRENTE DE TODOS,6.97,3.58,62.71,2.21,0.23,21.96,0.66,0,0.1,1.58,13710,7050,123354,4351,443,43207,1301,2,187,3109,78.04,261490,204065,3.15,0.13,0.32,6418,271,662
BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",FRENTE DE TODOS,7.21,2.18,49.73,1.12,0.16,36.16,1.34,0.11,0.11,1.87,1225,371,8445,191,28,6141,228,18,19,317,71.58,25160,18009,4.86,0.22,0.62,875,40,111
BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",FRENTE DE TODOS,5.6,2.78,63.26,1.79,0.22,24.26,0.53,0,0.14,1.41,1673,829,18887,534,66,7244,158,0,43,420,72.98,43688,31883,5.62,0.18,0.57,1791,56,182
BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",FRENTE DE TODOS,8.18,3.1,42.61,1.31,0.19,42.28,0.54,0,0.09,1.7,3298,1252,17190,527,78,17054,217,0,37,687,76.8,54779,42070,3.3,0.2,0.61,1388,86,256
BUENOS AIRES_MERLO,"Merlo, Buenos Aires",FRENTE DE TODOS,6.93,3.93,65.05,2.16,0.25,19.55,0.74,0.01,0.08,1.29,19107,10843,179287,5945,701,53875,2041,22,233,3545,73.37,392554,288031,3.46,0.14,0.71,9978,416,2038
BUENOS AIRES_MONTE,"Monte, Buenos Aires",JUNTOS POR EL CAMBIO,5.07,2.71,40.92,2.32,0.32,46.16,0.74,0.14,0.17,1.47,674,361,5441,308,42,6138,98,18,23,195,76.48,18548,14185,5.68,0.21,0.37,805,30,52
BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",FRENTE DE TODOS,5.42,2.5,54.79,1.56,0.14,33.68,0.37,0.02,0.06,1.46,275,127,2779,79,7,1708,19,1,3,74,68.28,7788,5318,3.85,0.17,0.6,205,9,32
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",FRENTE DE TODOS,5.8,3.52,65.66,2.23,0.26,20.41,0.74,0.03,0.11,1.24,13612,8273,154190,5233,616,47929,1734,75,248,2914,72.48,336295,243752,2.92,0.11,0.64,7107,267,1554
BUENOS AIRES_MORON,"Moron, Buenos Aires",FRENTE DE TODOS,10.1,4.36,45.3,1.85,0.27,34.3,1.07,0,0.11,2.64,20401,8807,91515,3747,544,69303,2162,2,224,5331,77.2,270595,208906,2.35,0.12,0.82,4905,257,1708
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",JUNTOS POR EL CAMBIO,5.34,1.31,45.26,0.52,0.12,45.53,0.44,0,0.18,1.3,588,144,4985,57,13,5015,49,0,20,143,79.13,14691,11625,4.24,0.37,0.65,493,43,75
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",JUNTOS POR EL CAMBIO,8.63,3.02,38.23,1.45,0.24,45.88,0.66,0.14,0.07,1.68,4855,1697,21508,816,134,25810,369,81,39,945,71.84,82485,59261,4.22,0.13,0.72,2502,79,426
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",JUNTOS POR EL CAMBIO,10.38,2.03,40.77,0.9,0.18,43.24,0.55,0.12,0.07,1.76,3125,610,12268,270,55,13011,167,36,22,529,75.67,41429,31351,3.19,0.14,0.68,999,45,214
