,id,agrupacion_ganadora,Alianza Compromiso Federal                                                                          _perc,Alianza Frente Amplio Progresista                                                                   _perc,Alianza Frente Popular                                                                              _perc,Alianza Frente de Izquierda y de los Trabajadores                                                   _perc,Alianza Frente para la Victoria                                                                     _perc,Alianza Unión para el Desarrollo Social                                                             _perc,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _perc,Alianza Compromiso Federal                                                                          _votos,Alianza Frente Amplio Progresista                                                                   _votos,Alianza Frente Popular                                                                              _votos,Alianza Frente de Izquierda y de los Trabajadores                                                   _votos,Alianza Frente para la Victoria                                                                     _votos,Alianza Unión para el Desarrollo Social                                                             _votos,Coalición Cívica - Afirmación para una República Igualitaria ARI                                    _votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
10,LA PAMPA,Alianza Frente para la Victoria                                                                     ,8.51,13.68,3.8,1.2,58.25,13.34,1.22,14911,23977,6662,2109,102096,23387,2143,80.98,245782,199035,11.01,0.06,0.86,21918,114,1718
11,LA RIOJA,Alianza Frente para la Victoria                                                                     ,20.84,6.11,2.03,1.49,51.24,17.37,0.91,31269,9169,3047,2231,76891,26067,1372,75.4,229385,172949,12.01,0.23,1.0,20775,404,1724
12,MENDOZA,Alianza Frente para la Victoria                                                                     ,20.32,12.35,1.74,1.57,50.83,11.04,2.15,174433,106071,14925,13520,436423,94776,18447,78.81,1214419,957125,5.66,1.09,3.55,54183,10388,33959
13,MISIONES,Alianza Frente para la Victoria                                                                     ,3.1,5.7,8.1,1.03,67.12,13.66,1.3,16732,30786,43763,5557,362680,73805,7050,77.15,717433,553487,1.76,0.08,0.53,9740,438,2936
14,NEUQUEN,Alianza Frente para la Victoria                                                                     ,6.42,14.41,3.62,3.26,61.0,9.31,1.98,19873,44641,11223,10083,188923,28829,6117,81.99,401001,328781,4.28,0.05,1.47,14088,172,4832
15,RIO NEGRO,Alianza Frente para la Victoria                                                                     ,4.03,12.0,2.96,2.01,68.03,9.32,1.64,13303,39588,9756,6631,224362,30735,5420,78.43,436665,342464,2.4,0.02,1.28,8210,60,4399
16,SALTA,Alianza Frente para la Victoria                                                                     ,3.28,8.37,4.19,3.67,64.21,14.79,1.47,19492,49768,24921,21824,381590,87923,8764,76.03,796285,605388,0.83,0.15,0.86,5034,878,5194
17,SAN JUAN,Alianza Frente para la Victoria                                                                     ,17.03,6.25,2.21,1.07,65.36,7.18,0.9,56867,20859,7384,3569,218243,23958,3017,77.72,461031,358296,5.85,0.08,0.88,20972,283,3144
18,SAN LUIS,Alianza Compromiso Federal                                                                          ,51.46,5.08,0.97,1.04,31.41,9.12,0.93,117707,11610,2224,2372,71855,20857,2122,79.93,304376,243283,4.81,0.13,1.03,11698,327,2511
19,SANTA CRUZ,Alianza Frente para la Victoria                                                                     ,1.28,7.38,1.51,1.73,74.76,11.89,1.45,1794,10357,2118,2427,104867,16686,2031,76.16,195945,149222,5.01,0.07,0.92,7477,98,1367
20,SANTA FE,Alianza Frente para la Victoria                                                                     ,4.8,39.1,5.04,1.73,41.97,5.68,1.68,85672,697855,89955,30872,748999,101414,30017,75.2,1603597,1205980,1.3,0.08,1.09,23864,1398,19994
21,SANTIAGO DEL ESTERO,Alianza Frente para la Victoria                                                                     ,1.67,4.12,3.34,1.09,82.01,7.03,0.73,6790,16753,13582,4437,333491,28586,2983,69.24,596362,412915,1.01,0.04,0.48,4157,148,1988
22,TIERRA DEL FUEGO,Alianza Frente para la Victoria                                                                     ,5.69,10.28,3.55,1.95,68.3,8.68,1.54,4002,7227,2498,1372,48004,6099,1082,73.09,99628,72814,1.63,0.05,1.8,1186,33,1311
23,TUCUMAN,Alianza Frente para la Victoria                                                                     ,4.88,10.86,2.91,1.93,65.18,13.28,0.97,39032,86830,23246,15436,521093,106139,7742,80.74,1008987,814701,1.03,0.03,0.8,8414,251,6518
