id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE POPULAR_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE POPULAR_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",Alianza Frente para la Victoria,6.41,12.86,6.47,0.96,46.21,25.19,1.9,1383,2776,1396,207,9976,5438,411,85.16,26958,22958,5.62,0.08,0.27,1291,19,61
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",Alianza Frente para la Victoria,5.67,14.32,6.24,1.25,53.15,18.13,1.24,1517,3832,1670,334,14221,4850,332,82.59,33851,27956,3.63,0.02,0.64,1016,5,179
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",Alianza Frente para la Victoria,6.2,10.9,6.24,1.4,53.9,20.2,1.17,915,1609,921,207,7956,2981,172,85.62,18141,15532,4.29,0.03,0.65,666,4,101
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",Alianza Frente para la Victoria,9.3,14.98,4.65,2.52,56.07,10.7,1.78,4924,7936,2465,1334,29702,5669,943,85.35,64651,55177,3.28,0.05,0.66,1812,27,365
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",Alianza Frente para la Victoria,7.08,17.52,5.7,0.98,58.15,9.09,1.48,546,1352,440,76,4487,701,114,84.7,10340,8758,11.62,0.11,0.16,1018,10,14
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",Alianza Frente para la Victoria,5.15,31.17,8.62,1.06,43.82,8.84,1.33,698,4223,1168,144,5936,1198,180,82.2,17390,14295,4.89,0.03,0.31,699,4,45
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",Alianza Frente para la Victoria,6.35,13.77,0.07,1.25,50.02,27.12,1.42,464,1006,5,91,3654,1981,104,85.27,9128,7783,5.68,0.03,0.44,442,2,34
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",Alianza Frente para la Victoria,8.56,10.67,4.44,0.72,68.22,6.6,0.79,761,948,395,64,6063,587,70,84.76,11111,9418,5.53,0.01,0.08,521,1,8
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",Alianza Frente para la Victoria,9.43,10.24,3.54,0.79,52.19,22.78,1.03,466,506,175,39,2579,1126,51,85.8,6079,5216,4.7,0.1,0.46,245,5,24
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",Alianza Frente para la Victoria,5.36,13.51,6.1,1.73,61,11.15,1.15,1489,3752,1694,480,16939,3095,320,84.33,34433,29036,3.67,0.02,0.68,1066,5,196
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",Alianza Frente para la Victoria,8.65,14.07,5.21,1.97,54.29,14.76,1.05,2683,4364,1615,611,16836,4579,326,83.06,38391,31888,2,0.03,0.71,639,9,226
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",Alianza Frente para la Victoria,6.59,21.33,5.61,1.57,41.04,22.33,1.53,1451,4696,1236,346,9034,4915,336,83.08,28711,23853,7.52,0.03,0.16,1793,8,38
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",Alianza Frente para la Victoria,4.05,13.07,4.73,1.9,60.72,14.2,1.33,1698,5482,1985,795,25465,5956,558,84.35,51243,43223,2.74,0.03,0.21,1183,12,89
BUENOS AIRES_COLON,"Colon, Buenos Aires",Alianza Frente para la Victoria,4.68,26.22,6.86,1.1,51.67,7.62,1.84,653,3656,957,154,7203,1062,256,82.09,17712,14539,3.8,0.01,0.31,552,1,45
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",Alianza Frente para la Victoria,6.07,13.82,6.22,1.15,45.5,25.81,1.44,585,1333,600,111,4388,2489,139,81.5,13058,10642,9.2,0.02,0.15,979,2,16
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",Alianza Frente para la Victoria,6.08,11.58,7.29,1.59,50.69,21.2,1.56,851,1620,1020,223,7091,2965,218,80.7,18964,15304,8.05,0.03,0.52,1232,4,80
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",Alianza Frente para la Victoria,14.34,16.79,10.92,1.84,43.2,9.8,3.11,4676,5475,3559,601,14085,3195,1015,75.05,45558,34193,3.83,0.03,0.78,1310,9,268
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",Alianza Frente para la Victoria,5.43,12.42,6.9,2.11,56.26,13.95,2.93,1338,3062,1702,521,13876,3441,722,82.68,31141,25747,3.42,0.03,0.77,880,8,197
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",Alianza Frente para la Victoria,3.67,9.71,8.73,0.75,46.73,28.45,1.97,386,1021,918,79,4915,2992,207,85.43,13013,11117,4.84,0.13,0.42,538,14,47
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",Alianza Frente para la Victoria,6.33,13.92,5.94,1.14,49.33,7.53,15.81,1038,2281,973,187,8086,1235,2592,83.83,21251,17815,7.45,0.04,0.49,1328,7,88
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",Alianza Frente para la Victoria,7.15,12.86,10.19,4.05,55.52,8.35,1.89,2496,4490,3560,1413,19390,2916,659,81.39,45166,36760,4.47,0.02,0.51,1642,7,187
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",Alianza Frente para la Victoria,7.58,12.7,7.08,2.87,59.33,8.84,1.6,8065,13511,7531,3054,63120,9409,1700,83.72,133524,111790,4.35,0.03,0.45,4868,30,502
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",Alianza Frente para la Victoria,6.06,10.65,7.16,2.86,64,7.82,1.45,8671,15223,10237,4090,91504,11182,2069,84.33,175752,148203,2.57,0.09,0.87,3808,137,1282
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",Alianza Frente para la Victoria,8.79,14.42,8.14,1.69,54.22,10.84,1.89,1463,2399,1354,281,9021,1804,315,84.37,20694,17460,3.81,0.03,0.87,665,6,152
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",Alianza Frente para la Victoria,6.7,7.69,8.33,2.71,66.76,6.65,1.16,5000,5740,6219,2020,49822,4961,869,85.08,91352,77724,3.3,0.06,0.62,2566,44,483
BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",Alianza Frente para la Victoria,3.67,9.01,4.69,0.89,52.22,26.22,3.29,222,545,284,54,3159,1586,199,87,7168,6236,2.71,0.03,0.26,169,2,16
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",Alianza Frente para la Victoria,5.01,7.35,4.64,2.58,73.66,5.84,0.93,9923,14569,9202,5107,145986,11569,1841,84.17,247147,208013,3.89,0.08,0.76,8086,158,1572
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",Alianza Frente para la Victoria,7.49,16.56,4.63,2.12,52.27,15.34,1.59,1753,3874,1082,495,12226,3587,372,78.27,30805,24111,2.38,0.02,0.6,573,4,145
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",Alianza Frente para la Victoria,2.52,9.17,13.38,0.54,41.48,32.08,0.84,145,527,769,31,2384,1844,48,83.74,7363,6166,6.7,0.02,0.06,413,1,4
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",Alianza Frente para la Victoria,6.35,17.48,7.82,0.91,45.42,20.6,1.42,679,1870,837,97,4860,2204,152,82.91,13343,11063,3.21,0.01,0.07,355,1,8
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",Alianza Frente para la Victoria,4.32,13.47,9.65,1.06,51.76,18.44,1.31,463,1442,1033,113,5543,1975,140,83.9,13577,11391,5.62,0.04,0.33,640,4,38
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",Alianza Frente para la Victoria,2,4.55,3.37,0.39,48.46,38.83,2.4,41,93,69,8,991,794,49,89.67,2411,2162,4.81,0.23,0.37,104,5,8
BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",Alianza Frente para la Victoria,3.02,8.42,5.36,0.85,52.53,28.67,1.15,213,594,378,60,3705,2022,81,85.67,8700,7453,4.67,0.08,0.62,348,6,46
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",Alianza Frente para la Victoria,2.42,5.12,3.07,0.53,53.07,35.38,0.41,59,125,75,13,1296,864,10,86.99,2952,2568,4.6,0.16,0.16,118,4,4
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",Alianza Frente para la Victoria,7.07,11.74,5.47,1.59,53.81,18.79,1.53,820,1361,634,184,6238,2178,177,80.83,14895,12040,3.55,0.02,0.15,428,2,18
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",Alianza Frente para la Victoria,6.93,14.36,13,1.14,46.88,16.8,0.9,499,1034,936,82,3376,1210,65,85.92,9005,7737,6.67,0.1,0.14,516,8,11
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",Alianza Frente para la Victoria,6.05,13.16,7.95,1.06,55.65,12.69,3.44,428,930,562,75,3934,897,243,85.83,8565,7351,3.33,0.01,0.49,245,1,36
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",Alianza Frente para la Victoria,8.3,19.65,6.48,2.87,50.71,9.71,2.27,29311,69416,22892,10153,179083,34304,8014,75.44,487213,367548,2.78,0.08,1.05,10222,279,3874
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",Alianza Frente para la Victoria,6.93,12.77,6.13,2.09,60.82,9.93,1.33,2926,5386,2585,882,25662,4188,563,82.57,53247,43965,3.46,0.03,0.54,1522,13,238
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",Alianza Frente para la Victoria,8.56,16.67,6.88,3.21,54.3,8.71,1.68,19763,38498,15895,7408,125400,20118,3870,81.47,293180,238853,2.29,0.1,0.92,5464,242,2195
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",Alianza Frente para la Victoria,9.55,10.68,3.4,1.08,51.6,21.79,1.91,1122,1255,400,127,6064,2561,224,83.02,14807,12293,3.9,0.06,0.44,479,7,54
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",Alianza Frente para la Victoria,12.47,16.93,2.92,1.15,44,20.77,1.77,2031,2758,476,187,7168,3383,288,81.79,20876,17075,3.99,0.01,0.59,681,2,101
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",Alianza Frente para la Victoria,4.9,16.1,4.93,1.3,58.81,12.59,1.37,358,1176,360,95,4297,920,100,84.18,9935,8363,12.39,0.01,0.24,1036,1,20
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",Alianza Frente para la Victoria,3.47,12.59,10.2,1.01,43.8,27.83,1.1,243,883,715,71,3071,1951,77,87.05,8759,7625,7.95,0.1,0,606,8,0
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",Alianza Frente para la Victoria,3.35,29.95,6.17,1.03,48.53,8.39,2.58,182,1627,335,56,2636,456,140,81.6,7189,5866,6.84,0.07,0.49,401,4,29
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",Alianza Frente para la Victoria,9.06,14.48,7.09,3.48,56.89,7.37,1.64,9635,15406,7546,3697,60521,7841,1742,82.7,133358,110284,2.79,0.04,0.7,3078,48,770
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",Alianza Frente para la Victoria,9.46,17.06,7.07,3.56,53.21,8.03,1.61,9400,16946,7026,3532,52860,7975,1598,83.61,122648,102552,2.56,0.04,0.54,2622,40,553
BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",Alianza Frente para la Victoria,5.11,7.38,6.43,3.26,70.6,6.16,1.06,6826,9862,8594,4355,94331,8233,1419,83.51,168422,140648,4.08,0.05,0.87,5739,69,1220
BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",Alianza Frente para la Victoria,2.92,11.83,11.26,1.54,52.35,19.1,1,376,1524,1450,198,6743,2460,129,83.62,16253,13590,4.65,0.05,0.52,632,7,71
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",Alianza Frente para la Victoria,11.24,19.3,4.86,2.01,47.83,12.58,2.18,6056,10400,2621,1085,25767,6776,1172,79.86,70413,56229,3.57,0.03,0.58,2007,19,326
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",Alianza Frente para la Victoria,9.58,10.68,7.17,2.68,53.65,14.83,1.4,3573,3984,2674,1001,20010,5532,521,75.9,51248,38899,3.22,0.09,0.81,1253,34,317
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",Alianza Frente para la Victoria,8.73,22.19,7.69,3.57,43.29,11.97,2.56,30978,78714,27275,12654,153609,42476,9092,81.14,455794,369821,3.32,0.05,0.69,12279,179,2565
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",Alianza Frente para la Victoria,7.65,16.35,7.48,3.5,55.16,8.41,1.45,21442,45813,20957,9813,154556,23568,4055,82.18,353328,290378,2.94,0.04,0.52,8538,112,1524
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",Alianza Frente para la Victoria,2.69,9.05,7.06,1.77,54.15,24.56,0.72,179,602,470,118,3603,1634,48,82.51,8355,6894,3.18,0.04,0.26,219,3,18
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",Alianza Frente para la Victoria,4.92,17.52,5.97,1.46,58.41,10.33,1.39,725,2583,880,216,8614,1524,205,82.44,19243,15863,6.2,0.04,0.79,984,6,126
BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",Alianza Frente para la Victoria,5.86,11.89,8.89,1.5,53.78,16.86,1.24,535,1086,812,137,4913,1540,113,85.82,11060,9492,3.31,0.04,0.4,314,4,38
BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",Alianza Frente para la Victoria,9.43,11.91,5.69,1.11,54.05,16.78,1.04,953,1204,575,112,5463,1696,105,81.46,12926,10529,3.69,0.01,0.3,388,1,32
BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",Alianza Frente para la Victoria,5.98,16.85,10.87,0.84,53.24,12.21,0,192,541,349,27,1709,392,0,87.32,4336,3786,14.92,0.08,0.21,565,3,8
BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",Alianza Frente para la Victoria,8.78,15.6,8.36,1.47,44.26,19.8,1.72,2358,4188,2245,394,11881,5315,461,83.63,33481,27999,3.77,0.03,0.33,1056,8,93
BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",Alianza Frente para la Victoria,4.06,10.54,6.79,0.7,49.49,27.88,0.54,445,1157,745,77,5431,3060,59,85.29,13369,11402,2.99,0.11,0.66,341,12,75
BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",Alianza Frente para la Victoria,8.01,14.86,8.95,1.92,48.75,15.19,2.32,1697,3151,1897,407,10335,3221,491,84.08,26647,22405,5.1,0.01,0.28,1142,2,62
BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",Alianza Frente para la Victoria,6,13.78,8.14,3.08,60.78,6.72,1.49,20551,47170,27856,10541,208003,23003,5112,83.09,426106,354040,2.46,0.06,0.81,8727,221,2856
BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",Alianza Frente para la Victoria,12.99,17.95,5.61,1.83,49.33,10.92,1.36,7420,10256,3203,1046,28183,6241,779,82.01,72821,59722,3.71,0.03,0.6,2217,20,357
BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",Alianza Frente para la Victoria,8.51,9.21,9.75,1.92,48.52,20.6,1.5,866,938,993,195,4940,2097,153,80.34,13272,10663,4.22,0.01,0.28,450,1,30
BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",Alianza Frente para la Victoria,3.96,8.64,3.12,1.16,44.88,36.39,1.86,270,589,213,79,3061,2482,127,82.5,8682,7163,4.51,0.03,0.24,323,2,17
BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",Alianza Frente para la Victoria,4.74,7.03,11.82,2.74,67.83,4.94,0.9,7967,11814,19873,4615,114073,8304,1517,85.77,205641,176378,4.1,0.1,0.46,7224,184,807
BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",Alianza Frente para la Victoria,6.46,11.02,6.19,1.58,55.71,17.82,1.21,895,1527,858,219,7717,2468,167,80.01,18099,14481,3.57,0.13,0.65,517,19,94
BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",Alianza Frente para la Victoria,5.13,8.47,4.95,2.41,70.49,7.49,1.07,1439,2374,1387,675,19767,2101,300,83.9,34848,29237,3.36,0.22,0.51,981,65,148
BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",Alianza Frente para la Victoria,6.56,9.99,5.72,2.95,67.56,6.13,1.09,44538,67832,38837,20055,458823,41634,7412,84.4,834863,704663,3.1,0.03,0.5,21815,192,3525
BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",Alianza Frente para la Victoria,9.94,16.84,6.58,2.79,52.8,8.95,2.11,3814,6458,2523,1071,20252,3433,808,83.11,48162,40026,3.33,0.1,0.74,1332,39,296
BUENOS AIRES_MERLO,"Merlo, Buenos Aires",Alianza Frente para la Victoria,6.08,9.22,6.77,3.24,67.2,6.36,1.13,16327,24761,18191,8700,180431,17067,3027,84.66,330576,279871,3.69,0.01,0.36,10328,26,1013
BUENOS AIRES_MONTE,"Monte, Buenos Aires",Alianza Frente para la Victoria,4.62,11.5,8.68,1.11,50.37,22.71,1.02,550,1370,1034,132,6002,2706,121,84.14,14947,12576,5,0.06,0.19,629,8,24
BUENOS AIRES_MONTE HERMOSO,"Monte Hermoso, Buenos Aires",Alianza Frente para la Victoria,6.58,9.73,16.83,2.42,57.24,5.45,1.74,280,414,716,103,2435,232,74,77.53,5844,4531,4.83,0.18,1.1,219,8,50
BUENOS AIRES_MORENO,"Moreno, Buenos Aires",Alianza Frente para la Victoria,6.73,9.31,6.6,2.86,66.95,6.44,1.12,14253,19739,13983,6063,141878,13643,2363,83.95,264813,222317,3.99,0.07,0.61,8870,161,1364
BUENOS AIRES_MORON,"Moron, Buenos Aires",Alianza Frente para la Victoria,9.5,21.12,7.38,3.34,48.24,8.47,1.94,18365,40838,14267,6457,93268,16384,3746,81.52,245819,200401,2.79,0.04,0.71,5590,73,1413
BUENOS AIRES_NAVARRO,"Navarro, Buenos Aires",Alianza Frente para la Victoria,5.46,8.34,8.45,0.84,52.65,22.93,1.33,548,837,848,84,5285,2302,134,86.42,12464,10772,6.18,0.07,0.56,666,8,60
BUENOS AIRES_NECOCHEA,"Necochea, Buenos Aires",Alianza Frente para la Victoria,6.13,13.75,20.21,1.36,45.25,11.96,1.34,3376,7577,11134,749,24929,6589,738,78.63,73088,57466,3.41,0.05,0.67,1961,28,385
BUENOS AIRES_9 DE JULIO,"Nueve De Julio, Buenos Aires",Alianza Frente para la Victoria,5.02,15.18,6.9,1.21,46.36,24.02,1.3,1559,4710,2142,376,14385,7453,404,84.81,37885,32129,2.88,0.03,0.52,924,9,167
BUENOS AIRES_OLAVARRIA,"Olavarria, Buenos Aires",Alianza Frente para la Victoria,9.67,13.43,6.91,2.1,55.18,10.77,1.93,6321,8777,4513,1375,36065,7041,1261,81.16,84494,68573,3.93,0.03,0.74,2696,18,506
BUENOS AIRES_PATAGONES,"Patagones, Buenos Aires",Alianza Frente para la Victoria,4.64,9.18,10.64,1.29,55.8,17.42,1.02,780,1543,1788,217,9375,2927,171,77.91,22535,17558,3.71,0.06,0.55,651,10,96
BUENOS AIRES_PEHUAJO,"Pehuajo, Buenos Aires",Alianza Frente para la Victoria,6.16,14.34,10.57,1.49,52.94,12.49,2.01,1468,3418,2520,356,12617,2976,478,80.52,31196,25119,4.18,0.02,0.92,1049,5,232
BUENOS AIRES_PELLEGRINI,"Pellegrini, Buenos Aires",Alianza Frente para la Victoria,4.29,9.13,5.17,0.54,43.21,36.51,1.15,160,341,193,20,1613,1363,43,88.45,4469,3953,5.31,0.08,0.18,210,3,7
BUENOS AIRES_PERGAMINO,"Pergamino, Buenos Aires",Alianza Frente para la Victoria,8.4,22.96,6.13,1.19,45.18,14.68,1.46,5331,14570,3888,757,28668,9314,929,81.21,81564,66238,3.2,0.06,0.93,2121,43,617
BUENOS AIRES_PILA,"Pila, Buenos Aires",Alianza Frente para la Victoria,4.88,9.85,9.13,0.72,52.64,21.87,0.9,108,218,202,16,1165,484,20,83.21,2793,2324,4.3,0.17,0.3,100,4,7
BUENOS AIRES_PILAR,"Pilar, Buenos Aires",Alianza Frente para la Victoria,8.39,12.44,6.77,2.43,60.37,7.77,1.83,11293,16738,9105,3266,81231,10451,2462,84.12,166052,139689,3.18,0.02,0.48,4447,29,667
BUENOS AIRES_PINAMAR,"Pinamar, Buenos Aires",Alianza Frente para la Victoria,7.86,16.33,6.64,1.77,51.47,14.01,1.93,1024,2127,865,230,6706,1825,251,78.09,17638,13774,4.29,0.08,1.05,591,11,144
BUENOS AIRES_PRESIDENTE PERON,"Presidente Peron, Buenos Aires",Alianza Frente para la Victoria,3.98,6.37,13.25,2.24,68.35,4.82,0.99,1507,2411,5018,849,25875,1826,373,84.63,47004,39780,3.94,0.03,0.85,1569,13,339
BUENOS AIRES_PUAN,"Puan, Buenos Aires",Alianza Frente para la Victoria,4.48,16.56,6.56,1.4,38.06,31.04,1.91,451,1669,661,141,3835,3128,192,79.85,13244,10575,4.21,0.04,0.46,445,4,49
BUENOS AIRES_PUNTA INDIO,"Punta Indio, Buenos Aires",Alianza Frente para la Victoria,4.19,12.41,7.33,1.27,46.12,26.33,2.35,257,762,450,78,2831,1616,144,82.94,7985,6623,6.69,0.18,0.45,443,12,30
BUENOS AIRES_QUILMES,"Quilmes, Buenos Aires",Alianza Frente para la Victoria,7.1,14.64,5.79,3.07,59.61,8.1,1.68,22374,46124,18242,9686,187780,25523,5280,82.84,393462,325944,2.75,0.07,0.54,8957,229,1749
BUENOS AIRES_RAMALLO,"Ramallo, Buenos Aires",Alianza Frente para la Victoria,4.14,19.44,4.15,0.93,55.15,14.98,1.22,795,3736,798,178,10599,2880,234,86.15,23358,20122,4.27,0,0.2,860,1,41
BUENOS AIRES_RAUCH,"Rauch, Buenos Aires",Alianza Frente para la Victoria,3.06,10.09,5.52,1.15,53.86,24.58,1.74,318,1047,573,119,5591,2551,181,88.26,12492,11025,5.55,0.08,0.22,612,9,24
BUENOS AIRES_RIVADAVIA,"Rivadavia, Buenos Aires",Alianza Frente Amplio Progresista,6.81,42.1,6.22,1.33,36.67,5.24,1.62,625,3861,570,122,3363,481,149,83.23,11964,9958,7.86,0,0.04,783,0,4
BUENOS AIRES_ROJAS,"Rojas, Buenos Aires",Alianza Frente para la Victoria,10.32,19.67,9.15,1.11,37.51,21.99,0.25,1459,2782,1294,157,5304,3110,35,84.18,18623,15676,9.21,0.06,0.52,1444,10,81
