id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
CORDOBA_CRUZ DEL EJE,"Cruz Del Eje, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,33.15,1.63,2.02,39.03,1.34,22.83,10660,525,648,12548,431,7341,73.96,44326,32782,1.31,0.03,0.58,428,11,190
CORDOBA_GENERAL ROCA,"General Roca, Cordoba",ALIANZA CAMBIEMOS,45.14,5.31,1.11,21.69,1.54,25.21,9916,1166,244,4764,338,5537,78.78,28211,22226,0.9,0,0.27,200,1,60
CORDOBA_GENERAL SAN MARTIN,"General San Martin, Cordoba",ALIANZA CAMBIEMOS,44.67,2.11,2.71,29.1,2.21,19.2,39005,1845,2366,25414,1926,16766,80.18,110649,88720,0.89,0.03,0.65,790,29,579
CORDOBA_ISCHILIN,"Ischilin, Cordoba",ALIANZA CAMBIEMOS,39.96,1.72,1.95,29.51,1.56,25.31,8065,347,394,5955,314,5108,76.95,26771,20599,1.27,0.01,0.73,262,3,151
CORDOBA_JUAREZ CELMAN,"Juarez Celman, Cordoba",ALIANZA CAMBIEMOS,46.45,3.62,1.7,19.36,1.61,27.27,18961,1478,693,7904,657,11131,81.31,51116,41560,1.16,0.01,0.59,483,6,247
CORDOBA_MARCOS JUAREZ,"Marcos Juarez, Cordoba",ALIANZA CAMBIEMOS,46.95,1.9,1.81,19.84,1.8,27.69,32392,1310,1251,13687,1245,19104,81.1,86461,70121,1.24,0.01,0.36,871,8,253
CORDOBA_MINAS,"Minas, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,28.66,1.8,1.46,36.58,0.97,30.52,941,59,48,1201,32,1002,71.83,4683,3364,1.84,0,0.56,62,0,19
CORDOBA_POCHO,"Pocho, Cordoba",ALIANZA FRENTE PARA LA VICTORIA,30.15,1.52,1,40.03,0.48,26.82,934,47,31,1240,15,831,73.5,4287,3151,1.49,0.03,0.16,47,1,5
CORDOBA_PUNILLA,"Punilla, Cordoba",ALIANZA CAMBIEMOS,52.67,2.04,3.5,18.13,2.12,21.53,63454,2461,4221,21848,2556,25945,78.04,158258,123497,1.3,0.04,1.1,1609,49,1354
CORDOBA_RIO CUARTO,"Rio Cuarto, Cordoba",ALIANZA CAMBIEMOS,43.87,3.88,1.87,17.64,1.8,30.94,71326,6314,3039,28677,2924,50301,79.74,208267,166062,1.21,0.02,0.87,2004,32,1445
CORDOBA_RIO PRIMERO,"Rio Primero, Cordoba",ALIANZA CAMBIEMOS,58.73,1.21,1.56,19.37,0.88,18.25,18771,388,498,6190,281,5834,81.79,39709,32479,1.15,0,0.44,374,0,143
CORDOBA_RIO SECO,"Rio Seco, Cordoba",ALIANZA CAMBIEMOS,38.2,0.94,1.7,31.83,0.89,26.45,3512,86,156,2926,82,2432,76.77,12288,9434,2.04,0.29,0.22,192,27,21
CORDOBA_RIO SEGUNDO,"Rio Segundo, Cordoba",ALIANZA CAMBIEMOS,57.47,1.77,2.25,18.57,1.58,18.36,40661,1252,1590,13138,1119,12986,82.51,87322,72050,1.06,0.01,0.74,765,6,533
CORDOBA_PRESIDENTE ROQUE SAENZ PEÑA,"Roque Saenz Pena, Cordoba",ALIANZA CAMBIEMOS,49.96,3.76,1.56,16.59,1.63,26.5,11892,895,372,3948,388,6309,79.75,30223,24103,0.83,0.02,0.39,201,4,94
CORDOBA_SAN ALBERTO,"San Alberto, Cordoba",ALIANZA CAMBIEMOS,40.55,4.3,2.22,24.39,1.36,27.18,10111,1071,554,6081,340,6776,79.22,32049,25390,1.13,0.03,0.65,286,7,164
CORDOBA_SAN JAVIER,"San Javier, Cordoba",ALIANZA CAMBIEMOS,35.65,5.25,2.55,31.62,1.69,23.24,12634,1859,905,11204,598,8237,79.53,45332,36053,1.08,0.01,0.62,391,3,222
CORDOBA_SAN JUSTO,"San Justo, Cordoba",ALIANZA CAMBIEMOS,48.72,1.67,1.94,17.87,1.85,27.94,66598,2289,2646,24429,2535,38186,79.44,174713,138795,0.9,0.01,0.62,1245,13,854
CORDOBA_SANTA MARIA,"Santa Maria, Cordoba",ALIANZA CAMBIEMOS,54.36,2.25,3.29,17.56,1.89,20.65,36968,1532,2239,11942,1284,14043,81.05,85874,69603,1.21,0.03,1.05,842,24,729
CORDOBA_SOBREMONTE,"Sobremonte, Cordoba",ALIANZA CAMBIEMOS,34.11,0.78,1.2,32.45,0.85,30.61,965,22,34,918,24,866,73.78,3913,2887,1.52,0,0.48,44,0,14
CORDOBA_TERCERO ARRIBA,"Tercero Arriba, Cordoba",ALIANZA CAMBIEMOS,50.77,2.65,2.18,19.08,1.89,23.44,38804,2027,1663,14580,1445,17913,80.96,95987,77714,1.04,0.02,0.59,807,17,458
CORDOBA_TOTORAL,"Totoral, Cordoba",ALIANZA CAMBIEMOS,57.23,1.22,1.11,24.47,0.94,15.03,7225,154,140,3089,119,1897,81.26,15747,12796,0.93,0,0.41,119,0,53
CORDOBA_TULUMBA,"Tulumba, Cordoba",ALIANZA CAMBIEMOS,39.77,1.01,1.3,32.68,1.03,24.21,3476,88,114,2856,90,2116,75.38,11821,8911,1.32,0.07,0.53,118,6,47
CORDOBA_UNION,"Union, Cordoba",ALIANZA CAMBIEMOS,47.88,1.86,1.4,22.93,1.73,24.2,32837,1276,962,15726,1187,16600,78.33,88845,69596,1,0.01,0.44,693,9,306
CORRIENTES_BELLA VISTA,"Bella Vista, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.69,0.48,0.86,56.89,0.94,16.16,5808,112,202,13384,220,3802,80.24,29769,23888,1,0.03,0.47,240,7,113
CORRIENTES_BERON DE ASTRADA,"Beron De Astrada, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.32,0.05,0.05,66.99,0.6,6.98,468,1,1,1238,11,129,81.75,2269,1855,0.22,0,0.16,4,0,3
CORRIENTES_CAPITAL,"Capital, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,37.77,0.51,1.48,41.81,1.37,17.06,84205,1126,3290,93217,3058,38037,81.18,281230,228310,1.5,0.06,0.8,3417,136,1824
CORRIENTES_CONCEPCION,"Concepcion, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.87,0.6,0.64,58.77,0.75,12.36,3254,73,77,7116,91,1497,75.97,16182,12294,0.98,0,0.54,120,0,66
CORRIENTES_CURUZU CUATIA,"Curuzu Cuatia, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32,0.64,1.29,50.63,1.04,14.41,8558,170,344,13538,278,3853,75.77,36003,27280,1.35,0.08,0.54,369,23,147
CORRIENTES_EMPEDRADO,"Empedrado, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,32.42,0.14,0.44,48.74,0.84,17.42,2976,13,40,4474,77,1599,75.77,12372,9374,1.18,0.06,0.83,111,6,78
CORRIENTES_ESQUINA,"Esquina, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.89,0.6,0.93,54.49,0.85,14.24,5706,119,184,10761,168,2812,72.94,27502,20059,1.05,0.01,0.47,211,3,95
CORRIENTES_GENERAL ALVEAR,"General Alvear, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.24,0.46,0.5,56.84,0.5,17.46,1158,22,24,2716,24,834,71.26,6837,4872,1.25,0,0.68,61,0,33
CORRIENTES_GENERAL PAZ,"General Paz, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.66,0.53,0.79,56.93,0.52,11.58,2925,52,78,5615,51,1142,75.09,13318,10000,0.87,0.13,0.37,87,13,37
CORRIENTES_GOYA,"Goya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.41,0.33,0.76,60.32,1,13.18,13370,182,417,33038,547,7221,77.09,72623,55986,1.46,0.05,0.66,817,26,368
CORRIENTES_ITATI,"Itati, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,33.04,0.19,0.58,56.12,0.75,9.32,2035,12,36,3457,46,574,73.65,8449,6223,0.58,0,0.43,36,0,27
CORRIENTES_ITUZAINGO,"Ituzaingo, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.06,0.55,1.04,51.9,0.93,17.53,5696,111,211,10537,188,3558,78.37,26579,20831,1.5,0.07,0.97,313,14,203
CORRIENTES_LAVALLE,"Lavalle, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.35,0.34,0.39,66.86,0.62,7.44,4413,61,71,12115,112,1348,78.72,23434,18447,1.17,0.03,0.57,216,5,106
CORRIENTES_MBURUCUYA,"Mburucuya, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,28.69,0.29,0.47,59.4,0.35,10.8,1884,19,31,3900,23,709,78.57,8445,6635,0.72,0.05,0.27,48,3,18
CORRIENTES_MERCEDES,"Mercedes, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,33.68,0.48,1.08,52.35,1.09,11.32,8677,123,279,13487,281,2917,77.99,33976,26499,2.3,0.04,0.44,609,10,116
CORRIENTES_MONTE CASEROS,"Monte Caseros, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,30.85,0.72,1.08,45.35,1.09,20.91,6685,155,233,9827,237,4530,76.36,28886,22056,1.43,0,0.33,316,0,73
CORRIENTES_PASO DE LOS LIBRES,"Paso De Los Libres, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,26.83,0.9,1.23,53.27,1,16.78,7866,264,362,15619,292,4919,73.87,40393,29840,1.16,0.02,0.56,345,7,166
CORRIENTES_SALADAS,"Saladas, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,25.28,0.44,0.57,59.5,0.77,13.44,3500,61,79,8236,107,1860,80.61,17512,14117,1.35,0.03,0.57,190,4,80
CORRIENTES_SAN COSME,"San Cosme, Corrientes",ALIANZA CAMBIEMOS,42,0.55,0.93,41.43,0.87,14.22,4541,59,101,4479,94,1537,78.46,13989,10976,0.97,0.04,0.5,106,4,55
CORRIENTES_SAN LUIS DEL PALMAR,"San Luis Del Palmar, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.43,0.46,0.73,58.83,0.65,14.9,2851,54,85,6864,76,1738,76.36,15502,11837,0.99,0.01,0.43,117,1,51
CORRIENTES_SAN MARTIN,"San Martin, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.4,0.61,0.64,53.7,0.68,12.96,2204,43,45,3769,48,910,69.92,10192,7126,1.19,0.08,0.22,85,6,16
CORRIENTES_SAN MIGUEL,"San Miguel, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,24.11,0.46,0.73,64.79,0.61,9.31,1628,31,49,4375,41,629,79.2,8707,6896,1.67,0,0.41,115,0,28
CORRIENTES_SAN ROQUE,"San Roque, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,22.06,0.28,0.69,67.88,0.41,8.68,2655,34,83,8169,49,1045,75.57,16121,12182,0.76,0.02,0.42,93,3,51
CORRIENTES_SANTO TOME,"Santo Tome, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,31.27,1.16,1.32,48.05,1.06,17.13,11426,424,483,17558,389,6261,78.19,47802,37374,1.52,0.02,0.69,568,6,259
CORRIENTES_SAUCE,"Sauce, Corrientes",ALIANZA FRENTE PARA LA VICTORIA,29.89,0.36,0.76,56.61,0.54,11.84,1656,20,42,3137,30,656,75.11,7485,5622,1.03,0,0.41,58,0,23
ENTRE RIOS_COLON,"Colon, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,34.15,1.02,1.95,36.71,2,24.17,12760,382,730,13715,746,9032,84.08,47536,39969,5.81,0.04,0.67,2324,14,266
ENTRE RIOS_CONCORDIA,"Concordia, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,28.43,0.96,1.93,45.6,1.54,21.54,29532,993,2000,47364,1600,22374,84.01,129563,108849,3.66,0.04,0.89,3979,42,965
ENTRE RIOS_DIAMANTE,"Diamante, Entre Rios",ALIANZA CAMBIEMOS,45.8,1.11,1.49,33.41,1.59,16.6,13418,325,436,9786,467,4862,81.33,37472,30477,3.26,0.04,0.58,994,13,176
ENTRE RIOS_FEDERACION,"Federacion, Entre Rios",ALIANZA CAMBIEMOS,47.88,0.69,1.26,37.65,0.99,11.52,21081,302,556,16576,438,5074,86.3,53189,45900,3.4,0.06,0.62,1561,26,286
ENTRE RIOS_FEDERAL,"Federal, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,38.38,0.5,1.57,50.36,1.01,8.17,6781,89,278,8898,179,1443,85.64,21850,18712,5.08,0.11,0.38,951,21,72
ENTRE RIOS_FELICIANO,"Feliciano, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,23.13,1.29,1.32,51.5,0.61,22.15,2102,117,120,4679,55,2013,81.91,11628,9525,3.88,0.03,0.69,370,3,66
ENTRE RIOS_GUALEGUAY,"Gualeguay, Entre Rios",ALIANZA CAMBIEMOS,43.1,1.17,1.91,33.33,1.52,18.97,14408,392,639,11142,508,6341,82.94,42265,35054,3.95,0.01,0.67,1385,5,234
ENTRE RIOS_GUALEGUAYCHU,"Gualeguaychu, Entre Rios",ALIANZA CAMBIEMOS,37.97,1.17,2.08,32.99,2.61,23.18,28305,875,1549,24589,1945,17282,85.81,90220,77414,2.97,0.05,0.68,2297,42,530
ENTRE RIOS_ISLAS DEL IBICUY,"Islas Del Ibicuy, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,33.27,0.66,0.97,49.86,0.83,14.41,2840,56,83,4256,71,1230,85.41,10390,8874,3.31,0.03,0.46,294,3,41
ENTRE RIOS_LA PAZ,"La Paz, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,37.36,0.72,0.94,47.65,0.96,12.37,15028,290,377,19168,385,4976,82.78,50996,42215,3.96,0.08,0.68,1672,33,286
ENTRE RIOS_NOGOYA,"Nogoya, Entre Rios",ALIANZA CAMBIEMOS,38.11,0.76,0.97,36.06,1.27,22.84,8559,170,218,8099,286,5129,85.54,28114,24048,6.19,0.07,0.34,1489,17,81
ENTRE RIOS_PARANA,"Parana, Entre Rios",ALIANZA CAMBIEMOS,41.45,1.05,1.9,33.27,3.21,19.12,83714,2112,3844,67191,6486,38618,84.21,249883,210437,3.08,0.06,0.89,6478,121,1873
ENTRE RIOS_SAN SALVADOR,"San Salvador, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.19,0.93,1.2,40.38,1.25,21.04,3920,104,134,4498,139,2344,86.44,13816,11942,5.94,0.07,0.72,709,8,86
ENTRE RIOS_TALA,"Tala, Entre Rios",ALIANZA CAMBIEMOS,41.03,1.08,1.43,37.53,1.55,17.38,6847,181,238,6263,259,2900,83.91,21104,17709,5.13,0.03,0.6,909,5,107
ENTRE RIOS_URUGUAY,"Uruguay, Entre Rios",ALIANZA FRENTE PARA LA VICTORIA,35.79,1.15,2.51,36.12,2.73,21.7,21752,696,1528,21956,1661,13192,84.53,75057,63447,3.33,0.05,0.81,2114,34,514
ENTRE RIOS_VICTORIA,"Victoria, Entre Rios",ALIANZA CAMBIEMOS,45.53,0.81,1.07,38.41,1.77,12.4,9646,172,227,8137,376,2627,85.7,25907,22203,3.94,0.05,0.6,875,10,133
ENTRE RIOS_VILLAGUAY,"Villaguay, Entre Rios",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),24.59,0.66,1.7,34.03,1.15,37.86,7011,188,485,9703,329,10795,81.87,36372,29779,3.56,0.04,0.65,1061,13,194
FORMOSA_BERMEJO,"Bermejo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,5.35,0.07,0.28,80.4,0,13.9,226,3,12,3396,0,587,81.24,5267,4279,1,0.05,0.23,43,2,10
FORMOSA_FORMOSA,"Formosa, Formosa",ALIANZA FRENTE PARA LA VICTORIA,20.53,0.27,1.37,54.9,0.59,22.34,27679,369,1850,74036,789,30130,79.93,176019,140684,3.09,0.12,0.94,4343,171,1317
FORMOSA_LAISHI,"Laishi, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.41,0.39,0.27,76.9,0.05,11.98,1177,44,30,8696,6,1355,83.04,14108,11715,2.69,0.42,0.37,315,49,43
FORMOSA_MATACOS,"Matacos, Formosa",ALIANZA FRENTE PARA LA VICTORIA,3.69,0,0.2,88.38,0.19,7.54,257,0,14,6151,13,525,73.2,9665,7075,0.76,0.23,0.64,54,16,45
FORMOSA_PATIÑO,"Patiño, Formosa",ALIANZA FRENTE PARA LA VICTORIA,9.47,0.08,0.31,74.76,0.15,15.24,2265,18,73,17876,35,3645,77.24,31758,24530,2.05,0.04,0.42,504,10,104
FORMOSA_PILAGAS,"Pilagas, Formosa",ALIANZA FRENTE PARA LA VICTORIA,10.88,0.14,0.44,81.57,0.14,6.83,473,6,19,3546,6,297,79.94,5518,4411,1.2,0.05,0.2,53,2,9
FORMOSA_PILCOMAYO,"Pilcomayo, Formosa",ALIANZA FRENTE PARA LA VICTORIA,14.06,0.18,0.51,76.38,0.32,8.55,5589,72,201,30354,127,3396,78.05,52532,41002,2.3,0.1,0.68,944,41,278
FORMOSA_PIRANE,"Pirane, Formosa",ALIANZA FRENTE PARA LA VICTORIA,13.44,0.28,0.71,68.33,0.07,17.16,4414,91,234,22435,22,5635,78.65,43484,34202,3.4,0.05,0.56,1162,16,193
FORMOSA_RAMON LISTA,"Ramon Lista, Formosa",ALIANZA FRENTE PARA LA VICTORIA,1.92,0.31,1.27,84.02,0.34,12.14,68,11,45,2976,12,430,75.43,4798,3619,1.52,0.3,0.3,55,11,11
JUJUY_COCHINOCA,"Cochinoca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.09,0.36,1.37,42.05,0.73,46.4,609,24,92,2818,49,3110,79.88,8991,7182,5.95,0.07,0.67,427,5,48
JUJUY_EL CARMEN,"El Carmen, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),15.6,0.4,1.42,36.82,0.46,45.3,7800,202,709,18412,232,22654,86.58,60764,52609,4.03,0.11,0.81,2120,56,424
JUJUY_DOCTOR MANUEL BELGRANO,"General Belgrano, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),23.11,0.69,3.87,31.75,1.08,39.49,34866,1048,5835,47909,1636,59577,83.1,191425,159074,4.07,0.14,0.94,6479,227,1497
JUJUY_HUMAHUACA,"Humahuaca, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.54,0.6,1.69,41.9,0.95,45.33,958,60,170,4209,95,4553,78.66,13802,10856,6.48,0.05,0.94,704,5,102
JUJUY_LEDESMA,"Ledesma, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),12.52,0.44,1.55,41.99,0.35,43.15,5085,178,631,17052,141,17522,81.87,51987,42560,3.69,0.11,0.78,1572,45,334
JUJUY_PALPALA,"Palpala, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),16.44,0.34,2.79,31.16,0.76,48.5,5248,110,892,9949,243,15484,86.19,38983,33601,4.17,0.03,0.79,1401,10,264
JUJUY_RINCONADA,"Rinconada, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,6.16,0.25,0.75,60.5,0.25,32.08,49,2,6,481,2,255,73.67,1185,873,7.56,0.23,1.15,66,2,10
JUJUY_SAN ANTONIO,"San Antonio, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,14.92,0.51,1.11,49.81,0.54,33.11,470,16,35,1569,17,1043,86.47,3761,3252,1.94,0.77,0.43,63,25,14
JUJUY_SAN PEDRO,"San Pedro, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,15.36,0.27,1.09,43.68,0.5,39.1,6963,122,492,19801,225,17725,83.71,56021,46896,2.55,0.11,0.68,1197,52,319
JUJUY_SANTA BARBARA,"Santa Barbara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.59,0.4,0.36,56.15,0.41,32.09,922,35,31,4890,36,2795,84.12,10740,9035,2.63,0.4,0.58,238,36,52
JUJUY_SANTA CATALINA,"Santa Catalina, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,3.91,0,0.37,55.06,0.28,40.38,85,0,8,1196,6,877,79.21,2853,2260,3.27,0.27,0.35,74,6,8
JUJUY_SUSQUES,"Susques, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.38,1.33,0.46,61.91,1.8,24.12,179,23,8,1068,31,416,84.83,2189,1857,6.25,0.43,0.43,116,8,8
JUJUY_TILCARA,"Tilcara, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,10.11,0.26,1.68,47.89,1.03,39.02,727,19,121,3444,74,2806,83.36,9102,7587,4.34,0.29,0.59,329,22,45
JUJUY_TUMBAYA,"Tumbaya, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,11.3,0.18,1.27,52.82,1.08,33.35,375,6,42,1753,36,1107,85.72,4055,3476,3.86,0.23,0.43,134,8,15
JUJUY_VALLE GRANDE,"Valle Grande, Jujuy",ALIANZA FRENTE PARA LA VICTORIA,36.18,0,0,50.14,0.28,13.39,127,0,0,176,1,47,86.47,414,358,0,0.28,1.68,0,1,6
JUJUY_YAVI,"Yavi, Jujuy",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),9.55,0.29,1.36,43.88,0.53,44.38,1046,32,149,4805,58,4860,76.4,15921,12164,8.43,0.18,1.37,1025,22,167
LA PAMPA_ATREUCO,"Atreuco, La Pampa",ALIANZA CAMBIEMOS,41.48,1.17,1.44,37.67,2.77,15.46,3113,88,108,2827,208,1160,86.69,9156,7937,4.88,0.04,0.54,387,3,43
LA PAMPA_CALEU CALEU,"Caleu Caleu, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,15.98,0.72,1.8,61.13,4.22,16.16,178,8,20,681,47,180,85.57,1379,1180,4.75,0,0.85,56,0,10
LA PAMPA_CAPITAL,"Capital, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,31.94,1.66,3.8,37.94,3.69,20.97,21388,1112,2544,25405,2468,14041,79.2,89325,70746,4.21,0.08,1.06,2981,59,748
LA PAMPA_CATRILO,"Catrilo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,38.29,1.45,1.25,41.68,0.79,16.55,1900,72,62,2068,39,821,87.11,6043,5264,5,0.27,0.47,263,14,25
LA PAMPA_CHALILEO,"Chalileo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,14.72,2.31,1.41,62.21,1.03,18.32,229,36,22,968,16,285,85,2106,1790,12.12,0.22,0.73,217,4,13
LA PAMPA_CHAPALEUFU,"Chapaleufu, La Pampa",ALIANZA CAMBIEMOS,40.56,1.79,1.25,36.13,1.73,18.53,3142,139,97,2799,134,1435,86.02,9773,8407,6.76,0.02,1.08,568,2,91
LA PAMPA_CHICAL CO,"Chical-Co, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,17.12,1.54,1.43,62.24,0.33,17.34,156,14,13,567,3,158,83.53,1202,1004,9.16,0,0.1,92,0,1
LA PAMPA_CONHELO,"Conhelo, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.08,1.35,1.34,42.79,1.46,16.98,3682,138,137,4367,149,1733,84.57,12715,10753,4.47,0.01,0.6,481,1,65
LA PAMPA_CURACO,"Curaco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,16.49,0.31,0.77,57.47,0.31,24.65,107,2,5,373,2,160,87.88,784,689,3.92,0.87,1.02,27,6,7
LA PAMPA_GUATRACHE,"Guatrache, La Pampa",ALIANZA CAMBIEMOS,50.8,0.92,1.54,26.77,1.64,18.33,2937,53,89,1548,95,1060,81.31,7449,6057,4.49,0,0.05,272,0,3
LA PAMPA_HUCAL,"Hucal, La Pampa",ALIANZA CAMBIEMOS,40.5,0.9,1.47,32.24,1.89,23.01,2255,50,82,1795,105,1281,84.04,6987,5872,4.67,0.09,0.43,274,5,25
LA PAMPA_LIHUEL CALEL,"Lihuel Calel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,36.19,0,0.48,55.71,0,7.62,76,0,1,117,0,16,86.8,250,217,3.23,0,0,7,0,0
LA PAMPA_LIMAY MAHUIDA,"Limay Mahuida, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,26.51,1.73,0.29,54.18,0.29,17,92,6,1,188,1,59,79.13,460,364,4.67,0,0,17,0,0
LA PAMPA_LOVENTUE,"Loventue, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,28.28,1.42,1.83,46.92,1.62,19.93,1637,82,106,2716,94,1154,87.25,7312,6380,8.29,0.14,0.83,529,9,53
LA PAMPA_MARACO,"Maraco, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,29.25,2.58,2.64,33.94,3.02,28.56,11049,974,999,12822,1141,10789,81.79,49311,40331,5.23,0.14,0.97,2109,57,391
LA PAMPA_PUELEN,"Puelen, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,20.52,1.52,1.58,40.75,1.96,33.66,973,72,75,1932,93,1596,83.28,6895,5742,16.35,0.24,0.84,939,14,48
LA PAMPA_QUEMU QUEMU,"Quemu Quemu, La Pampa",ALIANZA CAMBIEMOS,40.97,1.36,1.73,31.58,1.34,23.03,2325,77,98,1792,76,1307,84.49,7111,6008,5.31,0,0.23,319,0,14
LA PAMPA_RANCUL,"Rancul, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,39.15,2.31,0.81,44.49,0.85,12.38,2859,169,59,3249,62,904,86.04,9011,7753,5.43,0.04,0.35,421,3,27
LA PAMPA_REALICO,"Realico, La Pampa",ALIANZA CAMBIEMOS,40.83,2.59,1.28,38.34,2.19,14.78,4454,282,140,4182,239,1612,83.92,13772,11557,5.15,0,0.46,595,0,53
LA PAMPA_TOAY,"Toay, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,31.2,1.15,2.82,41.03,2.79,21.01,2597,96,235,3415,232,1749,79.98,10874,8697,3.55,0.08,0.66,309,7,57
LA PAMPA_TRENEL,"Trenel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,33.18,2.37,1.54,47.19,1.02,14.71,1232,88,57,1752,38,546,83.06,4705,3908,4.71,0.03,0.26,184,1,10
LA PAMPA_UTRACAN,"Utracan, La Pampa",ALIANZA CAMBIEMOS,35.39,1.53,2.13,31.46,1.73,27.76,3344,145,201,2973,163,2623,79.48,13158,10458,8.11,0.39,1.15,848,41,120
LA RIOJA_ARAUCO,"Arauco, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,29.12,1.56,1.08,45.62,0.74,21.88,2352,126,87,3685,60,1767,73.68,11295,8322,2.08,0.1,0.77,173,8,64
LA RIOJA_CAPITAL,"Capital, La Rioja",ALIANZA CAMBIEMOS,35.28,3.38,1.91,31.35,1.25,26.83,37897,3628,2052,33674,1343,28818,79.19,139981,110846,2.16,0.05,0.88,2398,58,978
LA RIOJA_CASTRO BARROS,"Castro Barros, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,24.12,1.27,1.33,48.88,0.47,23.94,819,43,45,1660,16,813,79.17,4387,3473,1.73,0,0.49,60,0,17
LA RIOJA_CHAMICAL,"Chamical, La Rioja",ALIANZA FRENTE PARA LA VICTORIA,30.33,3.75,1.01,38.62,1.03,25.25,2484,307,83,3163,84,2068,74.55,11314,8435,2.3,0,0.62,194,0,52
