,id,agrupacion_ganadora,ALIANZA CAMBIEMOS                                                                                   _perc,ALIANZA COMPROMISO FEDERAL                                                                          _perc,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _perc,ALIANZA FRENTE PARA LA VICTORIA                                                                     _perc,ALIANZA FRENTE POPULAR                                                                              _perc,ALIANZA PROGRESISTAS                                                                                _perc,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _perc,MOVIMIENTO AL SOCIALISMO                                                                            _perc,MOVIMIENTO DE ACCION VECINAL                                                                        _perc,MST - NUEVA IZQUIERDA                                                                               _perc,PARTIDO POPULAR                                                                                     _perc,ALIANZA CAMBIEMOS                                                                                   _votos,ALIANZA COMPROMISO FEDERAL                                                                          _votos,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   _votos,ALIANZA FRENTE PARA LA VICTORIA                                                                     _votos,ALIANZA FRENTE POPULAR                                                                              _votos,ALIANZA PROGRESISTAS                                                                                _votos,ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      _votos,MOVIMIENTO AL SOCIALISMO                                                                            _votos,MOVIMIENTO DE ACCION VECINAL                                                                        _votos,MST - NUEVA IZQUIERDA                                                                               _votos,PARTIDO POPULAR                                                                                     _votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
10,LA PAMPA,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,35.41,2.19,1.93,39.84,0.48,2.71,15.93,0.54,0.21,0.36,0.4,70608,4374,3854,79444,961,5402,31766,1071,414,715,805,76.75,273555,209966,3.78,0.06,1.18,7942,127,2483
11,LA RIOJA,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,27.13,4.22,1.42,40.58,0.4,0.68,24.26,0.33,0.21,0.36,0.41,45561,7078,2378,68131,680,1145,40741,558,346,603,685,66.12,268342,177429,3.96,0.5,0.91,7026,880,1617
12,MENDOZA,ALIANZA CAMBIEMOS                                                                                   ,36.11,5.2,8.99,33.2,0.43,1.41,13.37,0.31,0.18,0.28,0.51,360505,51947,89773,331518,4330,14078,133496,3121,1759,2797,5116,77.63,1361732,1057068,3.94,0.13,1.48,41618,1358,15652
13,MISIONES,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,22.09,0.61,1.43,57.44,0.65,1.2,14.71,0.49,0.25,0.5,0.62,135593,3749,8751,352515,4014,7360,90288,3006,1558,3088,3782,76.19,849037,646909,3.87,0.24,1.02,25044,1577,6584
14,NEUQUEN,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,27.25,2.41,6.22,35.63,0.87,3.03,21.68,0.78,0.44,0.89,0.8,87491,7751,19985,114396,2790,9723,69608,2504,1407,2871,2564,79.32,466726,370188,10.57,0.11,2.58,39114,425,9559
15,RIO NEGRO,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,22.7,1.88,3.34,44.62,0.9,3.04,21.45,0.7,0.27,0.49,0.62,80245,6639,11811,157688,3170,10736,75823,2482,947,1717,2175,73.45,505405,371195,2.87,0.04,1.88,10649,136,6977
16,SALTA,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,20.68,0.59,3.32,43.8,0.59,1.19,28.31,0.38,0.22,0.44,0.5,124423,3537,19986,263552,3531,7153,170377,2260,1300,2647,3012,65.02,955156,621067,1.41,0.77,0.93,8728,4763,5798
17,SAN JUAN,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,16.35,3.85,0.72,54.48,0.5,1.44,21.95,0.18,0.11,0.31,0.12,63766,14996,2794,212422,1956,5622,85578,688,435,1190,453,78.66,529394,416419,4.67,0.69,1.01,19457,2869,4193
18,SAN LUIS,ALIANZA COMPROMISO FEDERAL                                                                          ,24.77,45.12,1.29,19.58,0.23,1.62,6.24,0.4,0.16,0.42,0.17,57972,105576,3008,45816,535,3794,14609,937,371,985,409,74.15,349579,259216,8.02,0.18,1.51,20800,477,3927
19,SANTA CRUZ,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,25.57,1.14,4.2,44.35,0.55,1.54,20.75,0.72,0.26,0.64,0.29,41834,1860,6865,72565,902,2522,33946,1182,423,1055,469,72.11,237523,171266,2.29,0.13,2.04,3917,227,3499
20,SANTA FE,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,31.92,2.87,2.23,32.95,0.5,6.19,22.13,0.38,0.14,0.37,0.31,530429,47679,37043,547529,8388,102824,367804,6368,2339,6190,5120,66.87,2684598,1795192,5.23,0.05,2.15,93968,826,38685
21,SANTIAGO DEL ESTERO,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,14.31,0.51,1.22,66.03,0.29,1.13,15.18,0.3,0.16,0.39,0.5,65169,2336,5546,300798,1307,5160,69130,1351,733,1756,2259,67.08,697501,467861,2.05,0.04,0.54,9594,207,2515
22,TIERRA DEL FUEGO,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,22.31,1.97,2.78,47.02,0.88,2.34,20.56,1.11,0.2,0.43,0.41,19521,1728,2429,41144,773,2049,17986,968,175,373,355,73.54,126980,93376,3.24,0.14,2.91,3029,132,2714
23,TUCUMAN,ALIANZA FRENTE PARA LA VICTORIA                                                                     ,20.13,1.04,2.04,57.14,0.39,1.4,16.26,0.44,0.22,0.36,0.58,173943,9007,17599,493625,3402,12114,140451,3770,1869,3132,5010,77.38,1169673,905104,3.21,0.19,1.15,29020,1716,10446
