id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,MOVIMIENTO AL SOCIALISMO_perc,MOVIMIENTO DE ACCION VECINAL_perc,MST - NUEVA IZQUIERDA_perc,PARTIDO POPULAR_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,MOVIMIENTO AL SOCIALISMO_votos,MOVIMIENTO DE ACCION VECINAL_votos,MST - NUEVA IZQUIERDA_votos,PARTIDO POPULAR_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
BUENOS AIRES_BERAZATEGUI,"Berazategui, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.2,1.38,4.1,46.86,0.66,3.33,20.99,0.54,0.18,0.53,0.23,38198,2479,7382,84430,1185,6002,37820,981,329,949,412,76.69,250625,192200,5.68,0.03,0.55,10913,65,1055
BUENOS AIRES_BERISSO,"Berisso, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.29,1.12,4.29,40.08,1.12,4.54,20.49,0.78,0.25,0.58,0.44,13657,582,2230,20822,582,2358,10645,407,132,301,230,74.51,75534,56279,7.11,0.06,0.52,4004,34,295
BUENOS AIRES_BOLIVAR,"Bolivar, Buenos Aires",ALIANZA CAMBIEMOS,42.33,0.8,1.37,37.26,0.9,3.16,13.26,0.18,0.13,0.28,0.32,8856,168,286,7796,189,661,2775,38,28,59,66,76.36,29462,22498,6.27,0.04,0.69,1410,10,156
BUENOS AIRES_BRAGADO,"Bragado, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,42.17,0.71,1.43,43.04,0.24,2.02,9.79,0.21,0.11,0.11,0.17,10296,173,348,10507,58,494,2391,52,27,27,41,75.49,34151,25779,4.53,0.01,0.75,1168,3,194
BUENOS AIRES_BRANDSEN,"Brandsen, Buenos Aires",ALIANZA CAMBIEMOS,40.42,0.72,1.9,38.77,0.44,2.29,14.43,0.35,0.16,0.3,0.22,5730,102,269,5496,62,325,2046,50,23,43,31,78.2,21296,16654,13.89,0.08,0.91,2313,13,151
BUENOS AIRES_CAMPANA,"Campana, Buenos Aires",ALIANZA CAMBIEMOS,38.82,1.56,3.43,32.41,0.49,3.02,19.07,0.43,0.18,0.34,0.25,19595,786,1733,16359,245,1525,9627,215,89,171,127,74.36,73590,54721,6.75,0.07,0.95,3691,37,521
BUENOS AIRES_CAPITAN SARMIENTO,"Capitan Sarmiento, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.67,0.83,1.19,33.75,1.68,8.25,21.83,0.33,0.11,0.06,0.31,2481,65,93,2644,132,646,1710,26,9,5,24,72.61,12004,8716,9.81,0,0.3,855,0,26
BUENOS AIRES_CARLOS CASARES,"Carlos Casares, Buenos Aires",ALIANZA CAMBIEMOS,40.9,1.32,1.76,37.46,0.18,4.06,13.31,0.26,0.2,0.21,0.33,5413,175,233,4958,24,537,1762,34,26,28,44,74.36,18732,13930,4.84,0.02,0.14,674,3,19
BUENOS AIRES_CARLOS TEJEDOR,"Carlos Tejedor, Buenos Aires",ALIANZA CAMBIEMOS,43.91,0.45,2.73,37.54,0.04,1.74,13.16,0.19,0.09,0.06,0.09,3430,35,213,2933,3,136,1028,15,7,5,7,84.1,9841,8276,5.27,0,0.34,436,0,28
BUENOS AIRES_CARMEN DE ARECO,"Carmen De Areco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,34.4,0.79,0.71,45.18,0.12,1.39,16.99,0.11,0.07,0.11,0.14,2877,66,59,3779,10,116,1421,9,6,9,12,71.9,12471,8967,6.56,0.01,0.16,588,1,14
BUENOS AIRES_CASTELLI,"Castelli, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,39.26,0.26,2.25,48.17,0.17,1.81,7.67,0.15,0.09,0.06,0.11,2079,14,119,2551,9,96,406,8,5,3,6,76.9,7356,5657,5.71,0.05,0.62,323,3,35
BUENOS AIRES_CAÑUELAS,"Cañuelas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28.44,1.04,3.02,47.25,0.35,2.43,16.32,0.37,0.17,0.27,0.34,8311,304,882,13808,103,711,4769,108,50,78,99,75.3,40796,30721,4.03,0.06,0.78,1239,18,241
BUENOS AIRES_CHACABUCO,"Chacabuco, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.69,1.53,1.5,41.22,0.23,4.93,13.49,0.81,0.14,0.24,0.22,10116,434,425,11682,66,1396,3823,229,41,68,61,75.22,39558,29755,3.86,0.03,0.85,1150,10,254
BUENOS AIRES_CHASCOMUS,"Chascomus, Buenos Aires",ALIANZA CAMBIEMOS,38.58,0.7,2.39,27.03,0.85,5.08,24.43,0.38,0.12,0.24,0.2,8217,149,510,5756,180,1083,5204,80,25,51,43,77.31,30684,23723,9.8,0.03,0.4,2324,7,94
BUENOS AIRES_CHIVILCOY,"Chivilcoy, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.13,0.95,2.3,37.44,0.7,2.79,27.6,0.44,0.17,0.25,0.23,11013,387,933,15198,284,1134,11203,180,68,100,92,77.16,55776,43038,5.29,0.03,0.36,2276,15,155
BUENOS AIRES_COLON,"Colon, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.58,1.28,2.07,44.16,0.52,7.09,12.72,0.14,0.1,0.18,0.16,4480,182,294,6265,74,1006,1805,20,14,25,22,74.41,20081,14943,4.59,0.03,0.43,686,5,65
BUENOS AIRES_CORONEL DORREGO,"Coronel Dorrego, Buenos Aires",ALIANZA CAMBIEMOS,44.38,0.89,1.59,32.23,0.24,4.73,15.01,0.34,0.2,0.14,0.25,4036,81,145,2931,22,430,1365,31,18,13,23,77.15,13266,10235,10.65,0.01,0.48,1090,1,49
BUENOS AIRES_CORONEL PRINGLES,"Coronel Pringles, Buenos Aires",ALIANZA CAMBIEMOS,51.47,0.85,1.95,28.94,0.19,3.69,11.92,0.22,0.16,0.13,0.47,7270,120,275,4088,27,521,1684,31,23,19,67,78.54,19951,15669,9.52,0.01,0.33,1491,2,51
BUENOS AIRES_CORONEL DE MARINA LEONARDO ROSALES,"Coronel Rosales, Buenos Aires",ALIANZA CAMBIEMOS,42.12,2.02,2.17,24.04,1.09,5.83,21.37,0.6,0.17,0.29,0.3,14196,681,732,8100,369,1964,7201,202,56,97,102,75.56,47008,35521,4.25,0.02,0.85,1511,8,302
BUENOS AIRES_CORONEL SUAREZ,"Coronel Suarez, Buenos Aires",ALIANZA CAMBIEMOS,43.61,1.1,2.61,28.01,0.76,3.49,18.82,0.68,0.42,0.17,0.35,10222,257,612,6565,178,817,4412,159,99,39,82,80.22,32016,25682,7.59,0.02,1.11,1949,6,285
BUENOS AIRES_DAIREAUX,"Daireaux, Buenos Aires",ALIANZA CAMBIEMOS,47.88,0.51,0.78,36.03,0.1,1.33,12.84,0.16,0.11,0.08,0.17,5042,54,82,3794,11,140,1352,17,12,8,18,81.23,13875,11270,6.02,0.04,0.51,678,5,57
BUENOS AIRES_DOLORES,"Dolores, Buenos Aires",ALIANZA CAMBIEMOS,43.3,0.34,1.19,29.34,0.07,2.55,22.74,0.14,0.11,0.14,0.08,7189,56,198,4872,12,424,3776,23,18,23,13,77.06,23369,18008,7.04,0.08,0.68,1267,14,123
BUENOS AIRES_ENSENADA,"Ensenada, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,21.52,0.79,5.61,43.41,1.03,4.43,21.31,0.92,0.19,0.48,0.29,7956,293,2075,16051,381,1639,7881,341,71,179,109,77.68,51493,39998,6.99,0.03,0.54,2795,13,214
BUENOS AIRES_ESCOBAR,"Escobar, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,28,1.31,4.01,40.65,0.46,3.41,20.44,0.62,0.28,0.46,0.35,31597,1478,4520,45861,518,3850,23066,698,319,524,399,73.37,165385,121344,6.4,0.03,0.58,7772,42,700
BUENOS AIRES_ESTEBAN ECHEVERRIA,"Esteban Echeverria, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,23.84,1.32,3.78,44.67,0.59,3.1,21.22,0.55,0.24,0.41,0.28,35566,1967,5642,66636,886,4624,31657,815,360,618,416,71.97,219630,158058,4.53,0.06,1.02,7155,101,1615
BUENOS AIRES_EXALTACION DE LA CRUZ,"Exaltacion De La Cruz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.9,0.99,1.99,36.55,0.03,3.67,21.62,0.42,0.23,0.27,0.34,6008,175,352,6479,5,650,3832,75,41,47,60,75.57,24611,18598,3.96,0.05,0.68,737,10,127
BUENOS AIRES_EZEIZA,"Ezeiza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.63,1.66,3.51,46.9,0.38,2.76,23.83,0.38,0.18,0.4,0.37,16010,1356,2863,38260,313,2248,19440,312,150,327,298,73.13,119979,87741,6.18,0.02,0.82,5422,19,723
BUENOS AIRES_FLORENTINO AMEGHINO,"F. Ameghino, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,41.25,0.62,2.14,45.36,0.08,1.27,8.96,0.11,0.08,0,0.13,2598,39,135,2857,5,80,564,7,5,0,8,81.99,7922,6495,2.68,0.05,0.31,174,3,20
BUENOS AIRES_FLORENCIO VARELA,"Florencio Varela, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,16.06,0.87,3.22,56.89,0.41,2.23,18.85,0.57,0.19,0.42,0.3,32536,1757,6516,115295,827,4519,38206,1158,383,844,609,73.37,295876,217073,5.83,0.09,0.72,12666,185,1572
BUENOS AIRES_GENERAL ALVARADO,"General Alvarado, Buenos Aires",ALIANZA CAMBIEMOS,33.47,1.35,2.65,32.6,0.27,5.03,23.67,0.44,0.13,0.21,0.18,7799,315,617,7596,62,1173,5516,103,31,50,41,72.84,33660,24518,4.12,0.03,0.81,1009,8,198
BUENOS AIRES_GENERAL ALVEAR,"General Alvear, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,40.96,0.36,0.73,42.17,0.18,1.23,14.01,0.09,0.02,0.05,0.21,2301,20,41,2369,10,69,787,5,1,3,12,76.21,7853,5985,6.02,0,0.12,360,0,7
BUENOS AIRES_GENERAL ARENALES,"General Arenales, Buenos Aires",ALIANZA CAMBIEMOS,44.65,1.32,1.08,37.12,0.15,1.97,13,0.15,0.12,0.22,0.21,4802,142,116,3992,16,212,1398,16,13,24,23,78.34,14241,11156,3.43,0,0.17,383,0,19
BUENOS AIRES_GENERAL BELGRANO,"General Belgrano, Buenos Aires",ALIANZA CAMBIEMOS,41.48,0.52,1.68,37.35,0.16,1.72,16.49,0.18,0.12,0.1,0.21,4490,56,182,4043,17,186,1785,19,13,11,23,74.13,15449,11452,5.15,0.08,0.24,590,9,28
BUENOS AIRES_GENERAL GUIDO,"General Guido, Buenos Aires",ALIANZA CAMBIEMOS,61.06,0.21,0.79,24.49,0.11,1.27,11.72,0.21,0,0.16,0,1157,4,15,464,2,24,222,4,0,3,0,83.94,2435,2044,7.05,0,0.24,144,0,5
BUENOS AIRES_GENERAL LA MADRID,"General Lamadrid, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,37.37,0.27,0.83,37.67,0.14,1.89,21.18,0.26,0.11,0.07,0.2,2604,19,58,2625,10,132,1476,18,8,5,14,79.8,9398,7500,6.13,0.01,0.93,460,1,70
BUENOS AIRES_GENERAL LAVALLE,"General Lavalle, Buenos Aires",ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA),34.28,0.34,0.78,26.55,0.03,1.28,36.1,0.37,0.14,0.1,0.03,1015,10,23,786,1,38,1069,11,4,3,1,81.73,3771,3082,3.31,0.03,0.58,102,1,18
BUENOS AIRES_GENERAL JUAN MADARIAGA,"General Madariaga, Buenos Aires",ALIANZA CAMBIEMOS,35.57,0.46,1.7,29.4,0.19,8.73,23.28,0.26,0.1,0.15,0.17,4300,56,205,3554,23,1055,2815,31,12,18,21,74.37,17053,12683,4.38,0.02,0.28,555,2,36
BUENOS AIRES_GENERAL PAZ,"General Paz, Buenos Aires",ALIANZA CAMBIEMOS,40.48,0.67,1.01,35.62,0.15,2.12,19.27,0.32,0.1,0.1,0.15,3152,52,79,2773,12,165,1500,25,8,8,12,80.06,10324,8265,5.71,0.05,0.04,472,4,3
BUENOS AIRES_GENERAL PINTO,"General Pinto, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,31.66,1.12,1.82,42.89,0.14,4.37,17.31,0.3,0.12,0.08,0.18,2312,82,133,3132,10,319,1264,22,9,6,13,80.98,9537,7723,5.1,0.01,0.34,394,1,26
BUENOS AIRES_GENERAL PUEYRREDON,"General Pueyrredon, Buenos Aires",ALIANZA CAMBIEMOS,38.84,1.59,3.28,31.36,0.64,5.25,17.77,0.59,0.11,0.38,0.2,135907,5556,11484,109743,2254,18360,62180,2050,401,1322,694,68.29,546116,372923,4.83,0.06,1.27,18027,220,4725
BUENOS AIRES_GENERAL RODRIGUEZ,"General Rodriguez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.7,1.58,2.34,37.5,0.29,3.14,25.97,0.52,0.23,0.36,0.38,12038,685,1015,16300,127,1364,11285,225,99,157,166,70.77,67345,47658,8.03,0.02,0.76,3826,8,363
BUENOS AIRES_GENERAL SAN MARTIN,"General San Martin, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,27.96,1.27,4.25,38.24,0.45,4.22,22.25,0.57,0.14,0.45,0.2,61712,2799,9390,84386,989,9310,49097,1247,316,997,447,71.85,321986,231359,3.8,0.06,0.76,8786,136,1747
BUENOS AIRES_GENERAL VIAMONTE,"General Viamonte, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,36.14,1.52,0.81,39.79,0.35,1.92,18.35,0.18,0.06,0.09,0.77,4005,169,90,4410,39,213,2034,20,7,10,85,76.38,15532,11863,6.04,0.03,0.51,717,4,60
BUENOS AIRES_GENERAL VILLEGAS,"General Villegas, Buenos Aires",ALIANZA CAMBIEMOS,41.21,2.11,0.83,21.54,0.19,1.99,31.24,0.21,0.12,0.21,0.35,7074,362,143,3697,33,342,5363,36,21,36,60,77.61,24301,18859,8.05,0.04,0.89,1518,7,167
BUENOS AIRES_ADOLFO GONZALES CHAVES,"Gonzales Chaves, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,29.48,0.79,1.55,44.17,0.07,3,20.54,0.12,0.09,0.07,0.12,2193,59,115,3285,5,223,1528,9,7,5,9,78.57,10420,8187,8.66,0.09,0.4,709,7,33
BUENOS AIRES_GUAMINI,"Guamini, Buenos Aires",ALIANZA CAMBIEMOS,43.44,0.61,0.88,41.51,0.04,2.22,10.81,0.23,0.08,0.09,0.08,3214,45,65,3071,3,164,800,17,6,7,6,80.38,9744,7832,5.41,0.01,0.11,424,1,9
BUENOS AIRES_HIPOLITO YRIGOYEN,"Hipolito Yrigoyen, Buenos Aires",ALIANZA CAMBIEMOS,45,2.16,0.91,33.3,0.19,1.69,16.2,0.09,0.09,0.13,0.24,2420,116,49,1791,10,91,871,5,5,7,13,76.62,7522,5763,6.13,0.1,0.45,353,6,26
BUENOS AIRES_HURLINGHAM,"Hurlingham, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.92,1.48,4.26,38.65,0.49,4.99,23.74,0.57,0.18,0.48,0.24,26639,1583,4553,41313,521,5335,25378,614,188,515,259,76.33,146826,112073,4,0.04,0.58,4486,43,646
BUENOS AIRES_ITUZAINGO,"Ituzaingo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.73,1.22,4.08,37.63,0.41,6.95,21.52,0.58,0.13,0.57,0.18,26945,1232,4113,37932,416,7004,21688,587,128,571,177,75.84,138178,104799,3.35,0.02,0.45,3506,24,476
BUENOS AIRES_JOSE C. PAZ,"J. C. Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.07,1.05,3.4,51.48,0.32,2.43,25.02,0.46,0.13,0.41,0.23,20849,1459,4698,71233,446,3359,34619,635,175,565,325,71.68,207434,148686,5.84,0.11,1,8676,163,1484
BUENOS AIRES_BENITO JUAREZ,"Juarez, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32,0.35,1.57,42.84,0.18,2.65,19.9,0.25,0.06,0.12,0.08,4015,44,197,5374,22,332,2497,31,8,15,10,78.69,17051,13418,5.85,0,0.66,785,0,88
BUENOS AIRES_JUNIN,"Junin, Buenos Aires",ALIANZA CAMBIEMOS,35.53,3.28,2.3,30.04,0.37,4.46,23.18,0.4,0.11,0.18,0.15,18368,1694,1190,15534,193,2305,11986,209,55,94,76,71.63,76668,54914,5.07,0.05,0.72,2786,26,398
BUENOS AIRES_LA COSTA,"La Costa, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.93,0.61,2.62,36.97,0.41,2.75,19.36,0.53,0.11,0.48,0.24,15295,260,1117,15735,174,1170,8239,224,45,203,102,68.19,65893,44930,4.47,0.06,0.73,2009,29,328
BUENOS AIRES_LA PLATA,"La Plata, Buenos Aires",ALIANZA CAMBIEMOS,35.68,0.82,5.39,30.42,0.91,7.02,18.31,0.63,0.14,0.49,0.19,132185,3028,19970,112706,3368,26014,67829,2338,532,1798,688,72.61,536661,389659,4.15,0.06,0.72,16156,243,2804
BUENOS AIRES_LANUS,"Lanus, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,30.06,0.72,4.23,38.22,0.58,4.37,20.42,0.58,0.15,0.39,0.27,78453,1880,11050,99757,1516,11407,53300,1512,396,1011,707,70.89,385678,273389,3.76,0.14,0.63,10274,393,1733
BUENOS AIRES_LAPRIDA,"Laprida, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,42.82,0.32,1.35,45.86,0.13,1.96,7.11,0.13,0.06,0.07,0.18,2913,22,92,3120,9,133,484,9,4,5,12,77.95,9171,7149,4.32,0.01,0.5,309,1,36
BUENOS AIRES_LAS FLORES,"Las Flores, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,32.77,0.69,2.71,42.67,0.26,7.58,12.4,0.35,0.09,0.24,0.25,4724,100,391,6152,37,1093,1787,50,13,34,36,75.47,20603,15550,6.63,0.03,0.62,1031,5,97
BUENOS AIRES_GENERAL LAS HERAS,"Las Heras, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,26.86,0.59,1.65,41.16,0.08,1.98,27.04,0.19,0.14,0.1,0.2,2409,53,148,3691,7,178,2425,17,13,9,18,79.33,11782,9347,3.59,0.02,0.44,336,2,41
BUENOS AIRES_LEANDRO N. ALEM,"Leandro N. Alem, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,33.7,1.87,2.46,41.24,0.31,2.52,17.22,0.19,0.08,0.12,0.29,3368,187,246,4122,31,252,1721,19,8,12,29,72.66,14647,10642,5.55,0.02,0.51,591,2,54
BUENOS AIRES_LEZAMA,"Lezama, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,40.25,0.52,1.04,45.15,0.03,3.43,8.99,0.17,0.2,0,0.23,1397,18,36,1567,1,119,312,6,7,0,8,80.05,4746,3799,8.32,0,0.32,316,0,12
BUENOS AIRES_LINCOLN,"Lincoln, Buenos Aires",ALIANZA CAMBIEMOS,40.31,0.96,1.1,35.78,0.21,3.15,17.83,0.24,0.07,0.15,0.2,10433,249,285,9262,54,816,4616,61,17,39,52,76.97,35418,27261,4.62,0.02,0.41,1260,5,112
BUENOS AIRES_LOBERIA,"Loberia, Buenos Aires",ALIANZA CAMBIEMOS,43.51,0.37,0.99,36.8,0.11,1.53,16.19,0.18,0.08,0.09,0.13,4565,39,104,3861,12,161,1699,19,8,9,14,77.65,14239,11056,4.09,0.13,0.9,452,14,99
BUENOS AIRES_LOBOS,"Lobos, Buenos Aires",ALIANZA CAMBIEMOS,42.75,0.86,2.2,32.41,0.67,3.36,16.8,0.33,0.15,0.23,0.25,8535,171,440,6471,133,671,3355,66,29,46,49,70.45,30129,21226,5.5,0.07,0.37,1168,14,78
BUENOS AIRES_LOMAS DE ZAMORA,"Lomas De Zamora, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,24.27,1.05,4.32,46.11,0.47,4.71,17.54,0.6,0.17,0.47,0.3,81624,3536,14517,155082,1585,15826,58974,2019,569,1570,1019,70.53,504130,355556,4.6,0.04,0.78,16339,128,2768
BUENOS AIRES_LUJAN,"Lujan, Buenos Aires",ALIANZA CAMBIEMOS,35.98,2.1,2.61,31.3,0.31,5.13,21.38,0.44,0.16,0.3,0.28,20394,1190,1482,17742,176,2906,12116,251,89,169,161,71.06,84742,60220,5,0.05,0.84,3009,28,507
BUENOS AIRES_MAGDALENA,"Magdalena, Buenos Aires",ALIANZA CAMBIEMOS,36.69,0.65,3,30.76,0.33,2.09,25.23,0.36,0.26,0.29,0.32,3627,64,297,3041,33,207,2494,36,26,29,32,78.01,14331,11179,11.08,0.02,0.47,1239,2,52
BUENOS AIRES_MAIPU,"Maipu, Buenos Aires",ALIANZA CAMBIEMOS,51.56,0.41,1.38,25.91,0.2,2.02,18.02,0.15,0.07,0.15,0.15,3554,28,95,1786,14,139,1242,10,5,10,10,77.8,9405,7317,5.4,0.1,0.3,395,7,22
BUENOS AIRES_MALVINAS ARGENTINAS,"Malvinas Argentinas, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.03,1,3.99,41.43,0.38,2.42,34.22,0.59,0.18,0.51,0.25,26671,1774,7076,73532,679,4296,60736,1044,327,898,450,76.55,246089,188388,5.45,0.03,0.31,10260,63,582
BUENOS AIRES_MAR CHIQUITA,"Mar Chiquita, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,35.5,0.85,1.59,39.5,0.19,4.18,17.34,0.5,0.13,0.14,0.09,5461,130,245,6076,29,643,2667,77,20,21,14,76.91,21070,16205,4.33,0.06,0.68,701,10,111
BUENOS AIRES_MARCOS PAZ,"Marcos Paz, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.06,0.74,2.7,48.49,0.36,2.36,24.99,0.44,0.2,0.37,0.29,5441,210,770,13841,103,674,7133,127,56,106,82,74.26,40871,30352,5.18,0.05,0.73,1573,15,221
BUENOS AIRES_LA MATANZA,"Matanza, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,19.76,1.17,3.72,51.6,0.48,3.4,18.53,0.47,0.15,0.46,0.25,136377,8077,25688,356218,3339,23486,127929,3274,1017,3182,1712,72.13,1015903,732816,5.25,0.03,0.53,38439,218,3860
BUENOS AIRES_MERCEDES,"Mercedes, Buenos Aires",ALIANZA CAMBIEMOS,39.06,1.44,3.25,30.72,0.33,2.88,21.47,0.28,0.12,0.25,0.21,14642,540,1217,11516,123,1080,8047,104,45,93,79,73.87,52954,39119,3.36,0.05,0.77,1313,18,302
BUENOS AIRES_MERLO,"Merlo, Buenos Aires",ALIANZA FRENTE PARA LA VICTORIA,15.77,0.99,3.39,53.91,0.31,3.32,21.17,0.35,0.11,0.46,0.22,41840,2628,9005,143070,832,8809,56194,936,294,1210,574,72.61,389341,282709,5.52,0.02,0.59,15596,61,1660
